order_id,merchant_id,customer_id,order_status,is_test,ordered_at,paid_at
O000026,M00913,C011836,shipped,,2025-06-10T03:37:14,2025-06-10T03:38:14
O000027,M03616,C000658,partially_shipped,,2025-09-02T15:20:23,2025-09-02T15:32:23
O000028,M04234,C007181,shipped,,2025-06-10T16:47:12,2025-06-10T18:38:12
O000029,M04984,C005267,pending,,2025-01-06T21:04:56,2025-01-06T21:53:56
O000030,M01288,C002214,shipped,,2024-12-31T08:44:11,2024-12-31T10:38:11
O000031,M00600,C017313,shipped,,2025-03-28T02:30:43,2025-03-28T02:50:43
O000032,M00115,C017153,shipped,,2026-01-03T19:23:25,2026-01-03T20:06:25
O000033,M00878,C019462,shipped,,2025-09-11T22:44:43,2025-09-11T23:00:43
O000034,M04557,C014074,shipped,,2026-02-10T02:06:53,2026-02-10T03:56:53
O000035,M04475,C015180,shipped,,2025-02-13T05:43:11,2025-02-13T06:13:11
O000036,M00371,C010724,shipped,,2025-05-10T19:59:46,2025-05-10T20:32:46
O000037,M03068,C006499,shipped,,2025-10-30T21:13:51,2025-10-30T21:53:51
O000038,M04745,C011179,shipped,,2026-03-07T23:49:53,2026-03-08T01:37:53
O000039,M02584,C019920,shipped,,2025-10-01T22:29:58,2025-10-01T22:35:58
O000040,M04913,C008945,shipped,,2026-03-13T00:19:17,2026-03-13T00:49:17
O000041,M01987,C016341,shipped,,2025-06-03T03:05:26,2025-06-03T04:47:26
O000042,M01818,C013754,shipped,,2026-01-20T09:16:37,2026-01-20T10:18:37
O000043,M00894,C008554,shipped,,2024-12-18T07:23:02,2024-12-18T09:03:02
O000044,M01471,C019264,partially_shipped,true,2026-04-11T21:16:34,2026-04-11T22:05:34
O000045,M02574,C007589,shipped,,2025-10-17T00:07:53,2025-10-17T01:30:53
O000046,M00591,C014066,shipped,,2025-04-25T06:58:31,2025-04-25T08:10:31
O000047,M03737,C017056,partially_shipped,,2025-05-25T12:04:17,2025-05-25T12:47:17
O000048,M04587,C016792,shipped,,2025-05-14T13:46:42,2025-05-14T14:51:42
O000049,M03036,C018475,cancelled,,2024-12-12T04:08:47,
O000050,M00393,C012799,shipped,,2025-08-23T02:59:23,2025-08-23T04:09:23
O000051,M00856,C019272,shipped,,2025-05-25T16:47:30,2025-05-25T17:04:30
O000052,M03854,C017242,shipped,,2025-02-09T17:00:19,2025-02-09T17:30:19
O000053,M01119,C018704,shipped,,2025-07-25T15:48:30,2025-07-25T16:00:30
O000054,M00941,C004074,shipped,,2025-03-03T10:07:16,2025-03-03T11:53:16
O000055,M00541,C006230,shipped,,2025-07-10T06:10:16,2025-07-10T06:17:16
O000056,M04998,C012425,shipped,,2024-12-24T11:48:45,2024-12-24T13:46:45
O000057,M01098,C015190,shipped,,2025-07-14T02:39:13,2025-07-14T02:59:13
O000058,M02873,C007797,shipped,,2025-03-30T02:52:38,2025-03-30T04:36:38
O000059,M03140,C000362,partially_shipped,,2025-01-30T04:45:25,2025-01-30T05:41:25
O000060,M00340,C016422,shipped,,2025-02-25T23:51:00,2025-02-26T00:33:00
O000061,M04747,C013073,shipped,,2025-03-09T02:48:14,2025-03-09T03:49:14
O000062,M01245,C004651,shipped,,2025-04-12T18:26:07,2025-04-12T18:29:07
O000063,M02899,C014748,shipped,,2024-12-03T19:35:33,2024-12-03T20:39:33
O000064,M02367,C017098,shipped,,2025-11-10T15:34:34,2025-11-10T16:01:34
O000065,M00648,C008322,shipped,,2024-12-15T18:24:02,2024-12-15T19:09:02
O000066,M03998,C009851,shipped,,2025-06-15T08:11:13,2025-06-15T09:11:13
O000067,M03273,C019429,pending,,2025-01-22T16:32:14,2025-01-22T17:24:14
O000068,M00001,C011381,shipped,,2025-05-22T11:03:19,2025-05-22T11:32:19
O000069,M01700,C011661,shipped,,2026-03-20T02:32:10,2026-03-20T03:16:10
O000070,M04559,C018427,shipped,,2025-09-10T20:19:12,2025-09-10T21:11:12
O000071,M03028,C004297,shipped,,2025-07-22T07:13:32,2025-07-22T07:27:32
O000072,M04334,C011649,shipped,,2025-07-18T10:23:22,2025-07-18T12:10:22
O000073,M00159,C001577,shipped,,2025-08-11T21:40:43,2025-08-11T22:45:43
O000074,M01077,C009650,shipped,,2025-01-30T00:07:30,2025-01-30T01:15:30
O000075,M02700,C015180,shipped,,2025-12-09T18:16:33,2025-12-09T18:22:33
O000076,M01792,C011441,shipped,,2026-03-29T10:37:52,2026-03-29T11:33:52
O000077,M03994,C004779,shipped,,2025-10-22T18:00:48,2025-10-22T18:21:48
O000078,M02449,C019701,shipped,,2026-04-02T04:13:35,2026-04-02T04:51:35
O000079,M04725,C009844,shipped,,2025-07-29T02:51:52,2025-07-29T03:17:52
O000080,M03107,C007997,shipped,,2026-04-13T21:33:43,2026-04-13T23:05:43
O000081,M03036,C003687,shipped,true,2026-03-16T03:21:41,2026-03-16T03:55:41
O000082,M00316,C019005,cancelled,,2025-09-29T05:27:23,
O000083,M00613,C018370,shipped,,2025-08-13T11:24:37,2025-08-13T11:55:37
O000084,M01925,C002046,shipped,,2025-09-05T19:14:10,2025-09-05T20:51:10
O000085,M03650,C007103,shipped,,2025-07-27T23:44:18,2025-07-28T01:14:18
O000086,M01671,C000085,shipped,,2026-01-17T16:43:13,2026-01-17T17:23:13
O000087,M00799,C001307,shipped,,2025-09-23T17:11:03,2025-09-23T18:53:03
O000088,M04553,C019401,shipped,,2026-01-15T20:17:41,2026-01-15T22:09:41
O000089,M04492,C008304,partially_shipped,,2025-11-28T10:54:05,2025-11-28T12:48:05
O000090,M02699,C018418,shipped,,2025-02-11T07:15:10,2025-02-11T09:01:10
O000091,M00904,C000684,shipped,,2025-02-01T11:18:25,2025-02-01T13:03:25
O000092,M02636,C008825,shipped,,2025-01-05T19:04:06,2025-01-05T20:56:06
O000093,M02937,C014419,cancelled,,2025-11-04T01:30:03,
O000094,M01053,C016901,shipped,,2025-10-23T09:16:12,2025-10-23T10:42:12
O000095,M00488,C017317,shipped,,2026-01-03T09:22:16,2026-01-03T09:47:16
O000096,M02265,C002523,shipped,,2025-10-08T23:43:21,2025-10-09T00:53:21
O000097,M04486,C000184,shipped,,2025-12-26T07:10:43,2025-12-26T08:23:43
O000098,M02478,C018463,shipped,,2025-08-15T00:06:33,2025-08-15T01:48:33
O000099,M03290,C012304,shipped,,2025-08-02T17:44:26,2025-08-02T18:25:26
O000100,M03320,C002178,shipped,,2025-03-06T03:24:27,2025-03-06T05:05:27
O000101,M00215,C019420,shipped,,2025-10-07T02:12:30,2025-10-07T02:33:30
O000102,M03799,C011409,pending,,2025-11-12T02:40:46,2025-11-12T03:59:46
O000103,M00984,C016031,shipped,,2025-03-16T14:06:25,2025-03-16T14:21:25
O000104,M00180,C003833,shipped,,2024-11-28T09:15:06,2024-11-28T10:16:06
O000105,M02533,C015923,shipped,,2025-07-11T16:00:19,2025-07-11T17:01:19
O000106,M01549,C001419,shipped,,2026-01-26T16:54:12,2026-01-26T18:44:12
O000107,M04170,C016948,shipped,,2025-02-27T21:51:37,2025-02-27T21:52:37
O000108,M03289,C003914,shipped,,2026-02-19T16:31:50,2026-02-19T16:38:50
O000109,M02144,C010467,cancelled,,2025-04-02T16:37:28,
O000110,M02113,C002232,shipped,,2024-12-02T11:57:11,2024-12-02T13:06:11
O000111,M04317,C018471,shipped,,2025-02-28T13:13:30,2025-02-28T14:19:30
O000112,M00672,C016384,shipped,,2026-04-02T01:29:02,2026-04-02T02:06:02
O000113,M04009,C010132,shipped,,2025-08-03T03:12:24,2025-08-03T04:12:24
O000114,M03080,C016906,partially_shipped,,2026-02-16T16:44:12,2026-02-16T16:49:12
O000115,M02337,C008173,shipped,,2025-12-28T21:21:14,2025-12-28T21:28:14
O000116,M03620,C015460,shipped,,2025-12-13T06:48:32,2025-12-13T07:12:32
O000117,M03850,C007257,shipped,,2025-12-13T04:35:32,2025-12-13T06:30:32
O000118,M01458,C003785,shipped,false,2025-06-19T11:34:49,2025-06-19T12:18:49
O000119,M00187,C006425,pending,,2025-02-19T07:36:26,2025-02-19T08:46:26
O000120,M04328,C005700,shipped,,2024-11-13T14:34:38,2024-11-13T16:27:38
O000121,M02283,C015766,shipped,,2025-03-07T20:54:48,2025-03-07T21:57:48
O000122,M02232,C019528,shipped,,2025-01-06T08:10:23,2025-01-06T09:13:23
O000123,M01715,C008490,shipped,,2025-04-02T16:39:42,2025-04-02T17:10:42
O000124,M03264,C000722,shipped,,2025-01-15T02:34:24,2025-01-15T02:42:24
O000125,M04860,C002743,shipped,,2024-12-31T21:08:07,2024-12-31T21:38:07
O000126,M02647,C009879,shipped,,2026-03-27T17:32:37,2026-03-27T19:22:37
O000127,M03997,C014242,shipped,,2026-03-20T03:42:00,2026-03-20T05:28:00
O000128,M01518,C018423,shipped,,2025-03-05T21:42:34,2025-03-05T21:50:34
O000129,M00938,C000387,shipped,,2024-11-18T11:46:46,2024-11-18T13:34:46
O000130,M03416,C002111,shipped,,2026-03-27T15:18:03,2026-03-27T17:18:03
O000131,M03203,C003675,shipped,,2026-02-24T11:19:14,2026-02-24T11:33:14
O000132,M02256,C002930,shipped,,2026-02-25T01:55:02,2026-02-25T03:37:02
O000133,M02104,C014606,shipped,,2025-05-21T05:42:50,2025-05-21T06:56:50
O000134,M03629,C006671,shipped,,2025-09-06T15:19:57,2025-09-06T17:16:57
O000135,M01544,C015066,shipped,,2025-12-07T09:23:40,2025-12-07T10:02:40
O000136,M02362,C000752,shipped,,2025-04-27T20:19:06,2025-04-27T22:17:06
O000137,M04365,C016201,shipped,,2025-03-24T08:46:40,2025-03-24T08:51:40
O000138,M01246,C019312,shipped,,2025-05-03T23:00:21,2025-05-04T00:24:21
O000139,M04632,C008498,shipped,,2025-03-13T09:43:35,2025-03-13T10:07:35
O000140,M04926,C013125,shipped,,2025-01-27T14:10:39,2025-01-27T14:15:39
O000141,M01197,C006717,shipped,,2025-01-06T22:49:51,2025-01-06T22:57:51
O000142,M01396,C008859,shipped,,2024-12-05T05:16:41,2024-12-05T05:33:41
O000143,M04862,C014007,shipped,,2025-08-24T09:25:50,2025-08-24T10:48:50
O000144,M04670,C003735,pending,,2025-03-23T21:18:05,2025-03-23T21:39:05
O000145,M03925,C016199,shipped,,2025-12-24T00:20:07,2025-12-24T01:33:07
O000146,M01395,C012596,shipped,false,2025-01-19T01:46:42,2025-01-19T02:16:42
O000147,M02769,C017186,shipped,,2025-08-15T03:26:35,2025-08-15T04:55:35
O000148,M03654,C007828,shipped,,2025-06-25T18:16:01,2025-06-25T19:55:01
O000149,M04467,C018506,shipped,,2025-12-27T18:15:18,2025-12-27T19:50:18
O000150,M01262,C011692,shipped,,2026-03-17T02:57:40,2026-03-17T03:09:40
O000151,M03192,C005760,pending,,2025-02-21T06:10:45,2025-02-21T07:10:45
O000152,M02081,C015784,shipped,,2026-01-18T12:22:16,2026-01-18T13:07:16
O000153,M00806,C013859,shipped,,2025-01-27T11:58:59,2025-01-27T13:20:59
O000154,M02136,C002008,shipped,,2025-03-24T00:49:57,2025-03-24T01:51:57
O000155,M03806,C011945,shipped,,2025-04-21T07:33:19,2025-04-21T08:44:19
O000156,M03503,C019921,shipped,true,2026-01-06T15:55:04,2026-01-06T17:20:04
O000157,M04267,C009198,shipped,,2026-04-09T07:15:44,2026-04-09T07:50:44
O000158,M00387,C007152,shipped,,2025-08-31T15:15:29,2025-08-31T15:38:29
O000159,M00155,C000126,shipped,,2025-11-22T23:03:16,2025-11-23T00:38:16
O000160,M03702,C001467,shipped,,2025-07-29T10:56:03,2025-07-29T11:15:03
O000161,M02729,C001490,shipped,,2025-04-04T10:30:14,2025-04-04T11:12:14
O000162,M00911,C018416,shipped,,2026-03-19T07:41:43,2026-03-19T07:45:43
O000163,M03675,C002296,shipped,,2025-09-11T21:29:58,2025-09-11T21:57:58
O000164,M04204,C019826,shipped,,2025-01-20T09:57:04,2025-01-20T10:22:04
O000165,M03784,C019425,cancelled,,2025-05-26T23:26:40,
O000166,M02483,C008767,cancelled,,2026-01-14T20:53:25,
O000167,M00228,C017403,shipped,,2025-06-08T17:50:37,2025-06-08T18:38:37
O000168,M03123,C011849,shipped,,2024-11-11T22:15:11,2024-11-11T23:11:11
O000169,M04896,C005918,shipped,,2025-04-04T09:29:03,2025-04-04T11:04:03
O000170,M04387,C012752,shipped,,2026-01-08T11:06:20,2026-01-08T11:53:20
O000171,M04865,C013427,shipped,,2025-06-10T17:01:20,2025-06-10T17:11:20
O000172,M01755,C017315,shipped,,2025-09-19T13:36:37,2025-09-19T14:13:37
O000173,M00873,C009829,shipped,,2026-02-09T10:02:44,2026-02-09T11:30:44
O000174,M00400,C007637,shipped,,2024-11-25T21:25:34,2024-11-25T22:07:34
O000175,M04806,C012346,shipped,,2025-11-21T10:35:11,2025-11-21T12:31:11
O000176,M01138,C014233,shipped,,2024-12-13T00:48:54,2024-12-13T02:43:54
O000177,M03198,C016465,shipped,,2025-08-17T06:09:40,2025-08-17T07:11:40
O000178,M01678,C012113,cancelled,,2024-12-13T01:39:11,
O000179,M03501,C014172,shipped,,2024-12-05T19:12:58,2024-12-05T20:57:58
O000180,M02048,C011790,shipped,,2025-07-02T12:25:38,2025-07-02T13:09:38
O000181,M00202,C007594,shipped,,2024-11-13T14:31:05,2024-11-13T15:14:05
O000182,M00819,C015229,shipped,,2025-02-06T03:45:12,2025-02-06T05:35:12
O000183,M04605,C001189,shipped,,2025-05-07T16:26:43,2025-05-07T17:17:43
O000184,M04220,C017938,shipped,,2026-01-02T06:04:12,2026-01-02T06:14:12
O000185,M02085,C010871,shipped,,2024-11-20T22:23:10,2024-11-20T23:42:10
O000186,M01266,C016934,shipped,,2025-07-22T18:28:02,2025-07-22T20:14:02
O000187,M03894,C005964,shipped,false,2025-07-09T12:05:12,2025-07-09T13:10:12
O000188,M04954,C010928,shipped,,2025-04-02T07:26:25,2025-04-02T07:33:25
O000189,M01441,C009023,partially_shipped,,2025-12-15T12:28:55,2025-12-15T12:45:55
O000190,M04726,C010785,shipped,,2025-07-10T14:44:56,2025-07-10T16:04:56
O000191,M03331,C019358,shipped,,2025-10-09T09:00:03,2025-10-09T09:08:03
O000192,M02638,C003609,shipped,,2025-12-24T20:13:54,2025-12-24T20:59:54
O000193,M01328,C009976,shipped,,2025-02-10T06:34:58,2025-02-10T08:25:58
O000194,M04493,C015252,shipped,,2024-11-25T12:43:34,2024-11-25T13:23:34
O000195,M03384,C010667,shipped,,2024-12-15T06:35:59,2024-12-15T06:59:59
O000196,M01050,C015491,shipped,true,2026-02-24T13:07:15,2026-02-24T13:14:15
O000197,M00356,C009809,shipped,,2025-05-21T13:54:10,2025-05-21T15:33:10
O000198,M04978,C007595,shipped,,2026-03-26T10:24:53,2026-03-26T11:58:53
O000199,M01702,C001285,partially_shipped,,2026-04-14T13:33:12,2026-04-14T14:28:12
O000200,M00949,C001351,shipped,,2026-04-13T09:25:11,2026-04-13T10:48:11
O000201,M01345,C001391,shipped,,2025-06-19T23:42:45,2025-06-20T00:35:45
O000202,M03137,C012298,shipped,,2026-02-14T22:33:14,2026-02-15T00:03:14
O000203,M03506,C013658,shipped,,2025-11-27T01:16:11,2025-11-27T02:39:11
O000204,M01115,C019347,shipped,,2025-12-16T06:35:59,2025-12-16T08:09:59
O000205,M02765,C005717,shipped,,2025-02-03T00:32:34,2025-02-03T02:21:34
O000206,M04889,C016963,shipped,,2025-03-16T10:08:07,2025-03-16T10:59:07
O000207,M04901,C007867,shipped,,2026-03-29T22:16:54,2026-03-29T23:28:54
O000208,M03538,C015174,shipped,,2025-07-15T14:58:17,2025-07-15T16:35:17
O000209,M04743,C005637,shipped,,2024-11-10T04:37:28,2024-11-10T05:11:28
O000210,M04837,C006795,shipped,,2025-07-16T19:49:22,2025-07-16T20:14:22
O000211,M04298,C017025,shipped,,2025-11-28T06:49:06,2025-11-28T08:18:06
O000212,M02887,C000730,shipped,,2026-03-18T19:42:16,2026-03-18T21:04:16
O000213,M03878,C013344,shipped,,2025-11-09T06:59:28,2025-11-09T07:45:28
O000214,M04185,C017825,shipped,,2025-02-18T03:45:28,2025-02-18T05:34:28
O000215,M03896,C017054,shipped,,2026-03-27T04:37:20,2026-03-27T06:06:20
O000216,M01685,C015198,shipped,,2026-02-16T09:56:25,2026-02-16T11:54:25
O000217,M02508,C005406,partially_shipped,,2025-12-14T22:15:59,2025-12-15T00:00:59
O000218,M01823,C018532,shipped,,2025-04-17T05:00:20,2025-04-17T05:37:20
O000219,M00486,C018208,shipped,,2026-04-04T13:49:11,2026-04-04T14:41:11
O000220,M00634,C005481,shipped,,2024-12-26T21:13:02,2024-12-26T22:36:02
O000221,M02762,C014295,shipped,,2024-12-13T19:40:47,2024-12-13T21:19:47
O000222,M04807,C003179,shipped,,2025-11-10T07:28:25,2025-11-10T07:56:25
O000223,M04697,C014008,shipped,,2024-12-19T07:04:43,2024-12-19T08:43:43
O000224,M02775,C013413,shipped,,2025-11-18T12:53:07,2025-11-18T13:35:07
O000225,M00133,C014256,shipped,,2025-05-17T11:17:18,2025-05-17T11:29:18
O000226,M03359,C008772,cancelled,,2025-02-09T10:25:43,
O000227,M01537,C008230,cancelled,,2025-03-05T09:55:48,
O000228,M01531,C012235,shipped,,2025-12-20T18:32:48,2025-12-20T18:33:48
O000229,M04952,C018531,pending,true,2024-12-28T15:21:43,2024-12-28T15:46:43
O000230,M01360,C013384,shipped,,2025-11-26T19:59:46,2025-11-26T21:16:46
O000231,M01197,C015837,shipped,,2025-12-26T11:12:50,2025-12-26T11:39:50
O000232,M04219,C008651,shipped,,2026-01-24T06:28:34,2026-01-24T07:02:34
O000233,M01783,C011693,shipped,,2025-12-07T00:16:10,2025-12-07T02:09:10
O000234,M03194,C018014,shipped,,2025-12-27T12:36:51,2025-12-27T14:19:51
O000235,M02430,C018238,shipped,,2024-11-11T01:39:18,2024-11-11T03:00:18
O000236,M04898,C019451,shipped,,2026-01-15T07:50:58,2026-01-15T09:34:58
O000237,M03838,C011675,shipped,,2025-10-21T22:01:36,2025-10-21T22:31:36
O000238,M02760,C003550,pending,,2025-03-14T13:07:43,2025-03-14T14:41:43
O000239,M00662,C005794,shipped,,2025-06-17T10:41:56,2025-06-17T12:10:56
O000240,M03635,C006923,cancelled,true,2026-02-13T02:20:30,
O000241,M00777,C013484,shipped,,2025-12-19T00:34:08,2025-12-19T02:31:08
O000242,M03849,C007547,partially_shipped,,2024-12-17T13:37:09,2024-12-17T14:15:09
O000243,M00850,C018791,cancelled,,2025-06-06T21:55:35,
O000244,M02156,C013047,shipped,,2024-12-03T15:05:44,2024-12-03T17:03:44
O000245,M03887,C006408,shipped,,2025-09-14T09:55:30,2025-09-14T10:59:30
O000246,M03514,C008181,shipped,,2025-05-28T02:44:37,2025-05-28T03:16:37
O000247,M03563,C001736,shipped,,2024-12-19T04:45:10,2024-12-19T05:11:10
O000248,M03257,C000527,shipped,,2025-08-31T18:37:08,2025-08-31T18:49:08
O000249,M04197,C012497,shipped,,2025-05-01T22:00:59,2025-05-01T23:11:59
O000250,M03060,C012508,shipped,,2026-01-03T16:10:34,2026-01-03T17:08:34
O000251,M00489,C003967,shipped,,2025-09-07T15:57:22,2025-09-07T16:16:22
O000252,M02352,C018761,shipped,,2026-02-20T09:37:42,2026-02-20T10:46:42
O000253,M03951,C006801,shipped,,2025-05-25T00:12:11,2025-05-25T01:14:11
O000254,M02449,C017530,shipped,,2026-01-27T18:15:34,2026-01-27T19:26:34
O000255,M00250,C006738,cancelled,,2025-07-03T00:42:26,
O000256,M01691,C005047,pending,,2025-12-17T11:16:09,2025-12-17T11:26:09
O000257,M03571,C006920,shipped,,2024-11-11T18:51:28,2024-11-11T18:56:28
O000258,M04326,C009324,shipped,,2025-12-07T02:31:08,2025-12-07T03:22:08
O000259,M04403,C006835,partially_shipped,,2025-03-07T03:49:27,2025-03-07T05:14:27
O000260,M00031,C016484,shipped,,2025-10-19T15:27:54,2025-10-19T16:23:54
O000261,M02284,C005755,shipped,,2025-07-01T22:23:17,2025-07-01T23:38:17
O000262,M01034,C018293,shipped,,2024-12-04T02:35:31,2024-12-04T02:42:31
O000263,M00820,C010348,shipped,,2026-01-09T00:26:18,2026-01-09T01:55:18
O000264,M02523,C018434,shipped,,2025-03-24T23:25:50,2025-03-24T23:55:50
O000265,M01594,C007187,shipped,,2025-12-09T09:32:43,2025-12-09T10:43:43
O000266,M01645,C015150,shipped,,2025-06-25T15:18:16,2025-06-25T17:12:16
O000267,M01519,C016469,shipped,,2025-09-04T19:00:22,2025-09-04T20:02:22
O000268,M02569,C006544,shipped,,2025-07-29T12:05:46,2025-07-29T14:02:46
O000269,M00964,C012267,partially_shipped,,2025-08-13T22:06:48,2025-08-13T23:31:48
O000270,M01510,C003490,shipped,,2025-07-22T09:05:08,2025-07-22T10:39:08
O000271,M02482,C001811,shipped,,2025-10-24T21:28:43,2025-10-24T23:28:43
O000272,M01682,C005904,shipped,,2025-08-05T17:50:57,2025-08-05T19:00:57
O000273,M01602,C018953,shipped,,2025-10-16T19:25:59,2025-10-16T19:33:59
O000274,M02408,C015415,shipped,,2025-05-04T11:47:56,2025-05-04T12:36:56
O000275,M00930,C003497,shipped,,2025-08-15T14:40:54,2025-08-15T16:35:54
O000276,M01410,C000851,shipped,,2025-02-25T07:25:50,2025-02-25T08:55:50
O000277,M02382,C012283,pending,,2024-12-08T07:04:05,2024-12-08T07:36:05
O000278,M00310,C007792,shipped,,2026-04-05T09:47:59,2026-04-05T09:53:59
O000279,M02456,C019840,shipped,,2025-09-18T04:50:49,2025-09-18T05:39:49
O000280,M02406,C013283,shipped,,2026-04-07T12:40:56,2026-04-07T12:44:56
O000281,M00794,C006755,shipped,,2025-10-23T21:21:44,2025-10-23T22:32:44
O000282,M00939,C019176,shipped,,2025-06-20T08:34:31,2025-06-20T08:52:31
O000283,M04411,C000531,shipped,,2025-08-28T11:20:50,2025-08-28T11:51:50
O000284,M01925,C010679,shipped,,2025-09-07T07:23:02,2025-09-07T08:09:02
O000285,M03559,C009091,partially_shipped,,2025-05-19T16:04:56,2025-05-19T16:22:56
O000286,M00002,C019187,shipped,,2025-02-18T03:49:09,2025-02-18T04:21:09
O000287,M01136,C002764,shipped,,2025-09-25T10:21:41,2025-09-25T11:13:41
O000288,M00636,C006104,shipped,,2025-12-27T05:51:23,2025-12-27T06:24:23
O000289,M04915,C019979,shipped,,2025-03-03T15:15:41,2025-03-03T16:22:41
O000290,M04379,C011950,shipped,,2026-03-08T19:07:33,2026-03-08T19:47:33
O000291,M03334,C002152,partially_shipped,,2025-01-28T22:07:34,2025-01-28T23:12:34
O000292,M01474,C000422,shipped,,2026-01-14T20:44:51,2026-01-14T21:28:51
O000293,M01595,C016090,pending,,2025-02-14T21:54:37,2025-02-14T22:36:37
O000294,M00470,C010465,shipped,,2025-07-10T12:30:40,2025-07-10T12:52:40
O000295,M01534,C017251,partially_shipped,true,2025-04-07T14:29:38,2025-04-07T15:26:38
O000296,M04806,C012811,shipped,,2025-12-12T18:20:35,2025-12-12T18:42:35
O000297,M03262,C012030,shipped,,2025-10-05T22:15:26,2025-10-05T23:54:26
O000298,M02337,C011943,shipped,,2025-11-07T07:47:14,2025-11-07T08:10:14
O000299,M01950,C014032,shipped,,2026-04-14T10:27:21,2026-04-14T11:13:21
O000300,M01309,C016409,shipped,,2026-04-01T08:28:55,2026-04-01T08:42:55
O000301,M04214,C016792,shipped,,2025-08-26T08:56:47,2025-08-26T10:19:47
O000302,M01211,C009396,shipped,,2025-07-23T11:03:14,2025-07-23T12:54:14
O000303,M01162,C017142,shipped,,2025-05-19T09:50:49,2025-05-19T10:10:49
O000304,M00317,C017161,shipped,,2024-12-31T04:11:59,2024-12-31T06:03:59
O000305,M03805,C011119,shipped,,2025-07-27T14:08:33,2025-07-27T14:57:33
O000306,M02507,C018067,shipped,true,2025-10-10T13:24:27,2025-10-10T14:10:27
O000307,M01273,C001711,shipped,true,2025-07-04T16:26:42,2025-07-04T17:49:42
O000308,M02534,C006940,shipped,true,2026-01-13T19:52:58,2026-01-13T20:44:58
O000309,M03008,C018453,shipped,,2024-12-29T12:50:18,2024-12-29T14:45:18
O000310,M01872,C000899,partially_shipped,,2025-01-05T02:30:35,2025-01-05T03:10:35
O000311,M01991,C012779,shipped,,2026-02-03T16:06:27,2026-02-03T17:46:27
O000312,M02096,C001470,partially_shipped,false,2026-02-28T10:07:35,2026-02-28T11:15:35
O000313,M03033,C004861,shipped,,2024-11-20T12:13:20,2024-11-20T13:26:20
O000314,M00870,C000008,shipped,,2025-05-19T23:39:35,2025-05-20T00:35:35
O000315,M03272,C009148,shipped,,2025-03-13T08:18:26,2025-03-13T09:50:26
O000316,M00206,C005461,shipped,,2025-11-12T08:45:39,2025-11-12T09:46:39
O000317,M02832,C015021,shipped,,2025-01-04T19:51:00,2025-01-04T20:59:00
O000318,M01983,C009855,shipped,,2025-01-12T21:23:05,2025-01-12T21:26:05
O000319,M02577,C004688,shipped,,2026-03-28T22:35:57,2026-03-29T00:23:57
O000320,M01531,C009787,shipped,,2025-06-04T08:45:46,2025-06-04T09:16:46
O000321,M04468,C002306,shipped,,2026-01-26T20:29:18,2026-01-26T20:38:18
O000322,M04374,C009945,shipped,,2025-03-28T19:58:09,2025-03-28T20:26:09
O000323,M03498,C005882,shipped,,2025-10-13T01:13:42,2025-10-13T02:03:42
O000324,M00115,C002058,shipped,,2025-11-05T17:13:19,2025-11-05T17:32:19
O000325,M00342,C019449,partially_shipped,,2025-01-07T01:37:13,2025-01-07T03:31:13
