merchant_id,merchant_name,customer_type,tier,merchant_created_at
M00199,Sullivan-Miller,B2C,ENT,2024-08-22T16:03:14
M00200,Morales Ltd,B2C,ENT,2024-03-21T18:05:20
M00201,Marshall-Barrett,MKT,PLT,2024-05-08T17:45:57
M00202,Dunn Group,MKT,STD,2024-07-14T06:50:15
M00203,Ward-Hill,MKT,STD,2023-12-16T13:42:17
M00204,Johnson-Hernandez,B2C,PLT,2024-10-11T11:16:54
M00205,"Hernandez, Jenkins and Oneill",MKT,PLT,2024-08-10T08:09:33
M00206,"Hernandez, Morris and Murphy",B2B,ENT,2024-10-03T16:47:24
M00207,Mcgee-Mullins,B2C,PLT,2024-05-30T12:56:54
M00208,Torres LLC,MKT,PLT,2024-09-03T05:08:04
M00209,Douglas-Morris,B2B,PLT,2024-01-10T08:22:57
M00210,Gallegos-Sanchez,B2B,STD,2024-06-20T13:57:26
M00211,"Bautista, Miller and Nunez",B2B,STD,2024-07-19T04:48:22
M00212,Richards LLC,B2C,ENT,2024-03-27T12:53:49
M00213,Salazar-Anderson,B2B,PLT,2024-09-26T14:00:48
M00214,Banks Inc,B2C,PLT,2024-05-25T10:16:17
M00215,Ellison-Palmer,B2B,ENT,2024-10-17T23:07:16
M00216,Elliott-Hughes,B2B,ENT,2024-01-15T07:20:17
M00217,Peters-Adams,B2C,PLT,2024-09-15T10:15:14
M00218,"Hicks, Smith and Smith",B2B,ENT,2024-10-04T19:02:55
M00219,"Dixon, Freeman and Benson",B2C,STD,2024-10-14T12:14:37
M00220,Gomez Ltd,B2B,PLT,2023-12-08T04:25:39
M00221,Phillips Group,B2B,ENT,2024-06-15T17:17:43
M00222,Garcia-Leonard,B2C,PLT,2024-02-08T03:24:19
M00223,Brown Ltd,B2C,STD,2024-05-04T12:57:03
M00224,Gardner-Rodriguez,B2C,PLT,2024-03-04T05:28:52
M00225,"Farmer, Stewart and Anderson",MKT,PLT,2024-08-01T02:48:21
M00226,"Webb, Werner and Finley",MKT,PLT,2023-11-26T11:58:25
M00227,Robinson-Dennis,B2B,STD,2024-01-23T20:37:37
M00228,Richardson LLC,B2B,ENT,2024-03-18T19:31:52
M00229,"Blevins, Hardin and Robles",B2C,STD,2024-05-23T21:48:09
M00230,Martin-Fischer,MKT,PLT,2024-03-31T00:49:25
M00231,"Chambers, Wright and Ray",B2C,ENT,2023-12-15T22:33:02
M00232,"Mcclure, Gonzalez and Jones",B2B,ENT,2024-09-11T06:22:23
M00233,Robbins Ltd,B2C,ENT,2024-02-02T16:49:19
M00234,Newman-Ferguson,B2B,PLT,2024-10-20T09:07:16
M00235,Cooper-Franco,B2B,STD,2024-03-26T22:45:05
M00236,Morgan-Webb,MKT,STD,2024-07-01T23:08:19
M00237,"Jackson, Allen and Taylor",B2B,PLT,2024-03-15T16:17:37
M00238,Acosta Ltd,B2C,PLT,2024-01-11T16:19:35
M00239,Tate PLC,B2B,PLT,2024-03-01T08:24:07
M00240,Rojas and Sons,MKT,ENT,2024-09-17T21:17:01
M00241,Cole-Day,B2B,PLT,2023-12-09T23:33:05
M00242,Sanders PLC,MKT,STD,2024-08-08T05:27:19
M00243,"Wood, Conway and Edwards",B2C,STD,2024-02-07T22:47:21
M00244,Clark-Stark,B2C,STD,2024-05-01T17:52:05
M00245,"Ortega, Weeks and Haynes",B2C,PLT,2024-04-03T11:42:45
M00246,Moore-Taylor,B2B,ENT,2024-07-23T04:23:50
M00247,Rasmussen LLC,B2B,ENT,2023-12-20T23:19:15
M00248,"Baldwin, Moore and Miles",MKT,ENT,2024-03-27T19:34:56
M00249,Duncan PLC,MKT,PLT,2024-04-01T14:20:58
M00250,Webb-Mercer,B2C,STD,2024-02-23T03:26:55
M00251,"Johnson, Garza and Hogan",B2B,STD,2023-11-10T19:50:04
M00252,Simon Ltd,B2B,ENT,2024-01-17T10:13:40
M00253,"Watson, Burton and Crosby",B2B,ENT,2024-01-25T15:29:50
M00254,"Gomez, Flores and Wiggins",MKT,PLT,2024-03-30T00:50:29
M00255,"Allen, Dean and Simpson",B2B,PLT,2024-05-29T21:40:29
M00256,Chang Group,B2B,STD,2024-08-01T09:56:43
M00257,"Scott, Palmer and Clay",B2B,PLT,2024-10-05T00:56:35
M00258,"Nichols, Simmons and Cruz",MKT,STD,2024-01-01T17:05:54
M00259,"Nelson, Guerrero and Shah",B2C,STD,2024-08-20T10:05:50
M00260,Cox-Calderon,B2B,PLT,2024-09-23T14:33:31
M00261,Perry LLC,B2C,ENT,2024-09-01T01:41:03
M00262,Williamson Ltd,MKT,PLT,2024-03-25T06:35:58
M00263,"Miles, Morgan and Parker",MKT,PLT,2023-11-07T04:16:22
M00264,Ball Ltd,B2B,PLT,2024-09-17T20:45:51
M00265,"Mullins, Jones and Peterson",B2B,PLT,2024-09-30T05:13:36
M00266,"Church, Hanson and Jones",MKT,STD,2024-04-24T16:05:48
M00267,Fuentes-Johns,MKT,PLT,2024-02-23T16:07:15
M00268,Nunez Inc,B2B,ENT,2024-06-22T19:56:15
M00269,Gates Ltd,B2B,ENT,2024-10-23T15:19:38
M00270,Cohen-Quinn,MKT,STD,2024-02-28T19:22:40
M00271,"Snyder, Franklin and Hicks",MKT,ENT,2023-11-25T22:37:40
M00272,Reynolds-Sullivan,B2C,PLT,2024-09-07T02:20:42
M00273,"Moreno, Page and Russell",B2C,STD,2024-10-13T13:33:10
M00274,Rogers-Clark,B2C,STD,2024-01-10T18:53:53
M00275,Harrison-Petersen,B2C,PLT,2024-09-08T12:39:51
M00276,Mendez and Sons,B2C,ENT,2024-01-29T15:46:48
M00277,Jones-Gibson,B2B,STD,2024-03-26T09:03:23
M00278,"Sanchez, Olson and Taylor",MKT,STD,2023-11-26T21:26:48
M00279,Tucker LLC,B2C,STD,2024-01-26T22:38:57
M00280,Evans-Parks,MKT,STD,2023-12-17T06:39:24
M00281,Moore-Farrell,B2B,ENT,2024-04-03T00:19:54
M00282,Barajas Ltd,B2B,STD,2024-10-28T00:29:37
M00283,Ramos-Edwards,MKT,PLT,2023-11-29T00:05:02
M00284,Little-Powell,MKT,ENT,2023-12-27T21:09:08
M00285,Elliott PLC,B2B,ENT,2024-10-13T00:43:49
M00286,"Ewing, Noble and Monroe",MKT,STD,2024-06-10T13:07:19
M00287,"Hamilton, Shelton and Cantu",MKT,ENT,2024-08-31T18:23:09
M00288,Page Group,MKT,ENT,2024-04-04T02:02:57
M00289,"Payne, Goodman and Bean",B2B,ENT,2024-06-12T23:47:41
M00290,Nguyen-Chang,MKT,PLT,2024-04-29T01:05:42
M00291,Delgado Group,B2B,STD,2024-09-22T14:07:37
M00292,Avila-Castillo,B2C,STD,2024-09-22T10:52:51
M00293,"Wilkerson, Peterson and Doyle",B2B,ENT,2024-05-16T23:23:23
M00294,Jenkins-Carpenter,B2C,ENT,2023-11-17T02:20:30
M00295,Blair-Payne,B2C,PLT,2024-04-12T18:19:45
M00296,Roberts Group,MKT,PLT,2024-03-22T15:03:49
M00297,Jones-Woodard,MKT,STD,2024-06-27T07:24:51
M00298,"Webster, Horne and Torres",MKT,STD,2024-07-10T21:18:45
M00299,Hughes LLC,B2B,ENT,2024-07-30T11:39:20
M00300,Serrano PLC,B2C,ENT,2024-10-07T01:35:56
M00301,Reeves-Graham,B2B,STD,2024-04-05T17:55:42
M00302,Smith-Lopez,MKT,ENT,2024-04-30T07:01:08
M00303,Hill PLC,B2B,PLT,2024-06-18T04:57:06
M00304,Hayes-Edwards,B2B,PLT,2024-10-17T13:45:40
M00305,"Ochoa, Lewis and King",B2C,ENT,2024-03-21T08:29:34
M00306,Simmons Ltd,B2C,ENT,2023-11-11T23:58:51
M00307,Sullivan Ltd,MKT,STD,2024-01-31T16:28:11
M00308,Harris PLC,MKT,STD,2023-11-08T06:50:05
M00309,Barnett PLC,B2C,PLT,2024-05-21T17:35:04
M00310,Francis Inc,B2B,STD,2024-03-06T01:12:01
M00311,Mays-Dixon,B2C,ENT,2024-08-17T11:56:18
M00312,"Oconnor, Mitchell and Davidson",MKT,STD,2024-02-29T00:30:00
M00313,King-Rice,B2B,ENT,2024-08-20T02:16:08
M00314,Roberts and Sons,B2C,PLT,2024-07-20T02:01:16
M00315,"Clark, Mills and King",B2C,PLT,2024-03-03T20:58:37
M00316,Myers-Gray,MKT,STD,2024-02-02T04:57:44
M00317,Ramirez Inc,MKT,ENT,2023-12-04T11:21:17
M00318,"Martin, Morrison and Hunter",MKT,STD,2024-06-16T01:40:02
M00319,"Brewer, Miller and Arnold",B2B,ENT,2024-03-27T20:21:03
M00320,Avila Ltd,MKT,ENT,2023-12-22T20:52:44
M00321,Ryan LLC,B2B,STD,2024-07-11T06:30:52
M00322,"Lopez, Gonzalez and Fox",B2C,STD,2024-05-06T06:38:41
M00323,Hanson-Silva,MKT,PLT,2024-10-07T14:45:09
M00324,Ortega PLC,B2C,PLT,2024-02-06T15:30:54
M00325,"Dawson, Gentry and Lewis",B2C,ENT,2024-10-11T03:56:50
M00326,Johnson-Robertson,B2C,PLT,2024-04-12T15:10:50
M00327,"Myers, Oneill and Hill",B2C,PLT,2024-05-18T01:25:38
M00328,Anderson and Sons,B2C,STD,2024-03-04T18:09:13
M00329,"Martin, Young and Castro",B2B,STD,2024-06-24T05:40:38
M00330,"Schneider, Garner and Ford",MKT,ENT,2024-05-09T16:54:55
M00331,Luna Ltd,B2C,PLT,2024-10-28T01:26:12
M00332,Henderson-Miller,B2B,ENT,2024-05-06T08:06:55
M00333,Sellers and Sons,MKT,STD,2024-02-24T13:34:38
M00334,"Ross, Bishop and Lyons",B2C,ENT,2023-12-10T21:43:32
M00335,Wood Group,B2C,PLT,2024-01-10T01:56:32
M00336,Cruz-Riley,B2B,STD,2023-12-01T11:54:22
M00337,Vargas Group,MKT,ENT,2024-06-01T00:08:37
M00338,"Robinson, Davis and Romero",MKT,STD,2024-07-04T14:14:11
M00339,Garcia-Sutton,MKT,PLT,2024-03-04T08:25:52
M00340,"Klein, Saunders and Carr",MKT,STD,2024-06-14T19:12:05
M00341,Lee LLC,MKT,ENT,2024-09-13T09:57:42
M00342,"Jimenez, Contreras and Hall",B2B,STD,2024-04-10T20:04:49
M00343,"Sanchez, Collins and Sims",B2B,PLT,2024-08-12T05:15:10
M00344,Gibson Group,B2B,ENT,2024-01-23T05:11:15
M00345,"Booth, Williams and Burton",B2C,PLT,2023-11-13T08:16:15
M00346,"Morrison, Garza and Taylor",MKT,ENT,2024-01-04T05:08:57
M00347,Rodriguez Ltd,B2B,PLT,2024-07-20T07:14:41
M00348,Gonzales-Collins,B2B,STD,2024-06-12T22:07:15
M00349,"Flowers, Huynh and Martinez",B2B,PLT,2024-10-10T19:27:48
M00350,Williams PLC,B2C,STD,2024-08-30T05:52:31
M00351,Thompson-Mays,B2B,ENT,2024-08-23T05:22:50
M00352,"Wong, Silva and Thomas",B2B,PLT,2024-05-26T05:26:11
M00353,Henderson-Jacobson,MKT,ENT,2024-07-09T10:14:55
M00354,Jones-Tucker,MKT,PLT,2024-01-12T02:42:34
M00355,"Martin, Scott and Townsend",B2C,ENT,2024-10-11T16:49:18
M00356,Robinson-Barnes,B2C,ENT,2024-05-07T19:45:37
M00357,Conway Group,MKT,PLT,2024-01-05T23:28:23
M00358,"Fleming, Knox and Navarro",MKT,STD,2024-09-24T15:11:08
M00359,Mendoza Inc,B2B,ENT,2024-09-21T06:59:15
M00360,"Thomas, Farmer and Powers",B2B,PLT,2024-09-16T20:06:47
M00361,"Gill, Anthony and Barrera",MKT,STD,2024-08-26T08:22:46
M00362,Cook and Sons,B2C,PLT,2023-11-26T12:24:31
M00363,"Jackson, Brown and Gordon",MKT,ENT,2024-01-22T19:42:33
M00364,Wilson-Duffy,B2C,ENT,2024-06-21T01:41:20
M00365,Miller Ltd,MKT,STD,2024-09-24T21:54:19
M00366,"Whitehead, Crane and Allen",B2B,ENT,2024-09-13T03:51:28
M00367,Little and Sons,MKT,PLT,2024-03-24T13:00:57
M00368,Alexander PLC,B2C,PLT,2024-03-02T15:03:16
M00369,"Bullock, Martinez and Becker",B2B,ENT,2024-01-21T10:49:38
M00370,Hart Group,B2B,PLT,2024-07-17T07:25:28
M00371,Bishop LLC,MKT,STD,2024-07-31T03:41:21
M00372,Ortiz PLC,MKT,ENT,2024-01-02T04:25:43
M00373,Rasmussen-Gonzalez,B2B,STD,2024-07-31T20:39:15
M00374,Miller-Bradley,B2B,ENT,2024-02-28T20:55:16
M00375,Reeves LLC,MKT,PLT,2024-01-06T17:27:25
M00376,"Fischer, Garcia and Clark",B2B,PLT,2024-05-27T04:33:08
M00377,Mckenzie and Sons,B2B,PLT,2024-03-28T17:49:10
M00378,Woodward-Noble,MKT,ENT,2024-05-07T16:41:27
M00379,Anderson-Caldwell,B2C,PLT,2023-11-12T19:42:52
M00380,Daniels-Lin,MKT,PLT,2024-03-15T18:17:48
M00381,Hayes LLC,B2B,PLT,2024-08-29T15:43:53
M00382,Butler Group,MKT,PLT,2024-03-25T12:42:25
M00383,"Mcguire, Price and Fisher",MKT,PLT,2024-03-25T15:26:45
M00384,Lewis Ltd,B2B,PLT,2024-03-17T23:02:08
M00385,Smith-Chaney,B2C,ENT,2024-07-29T05:40:04
M00386,"Richardson, Austin and Holt",B2B,PLT,2024-02-02T20:18:55
M00387,Winters-Lane,B2B,PLT,2024-02-28T10:56:52
M00388,Hernandez-Pham,B2C,PLT,2023-11-13T02:36:13
M00389,Le PLC,B2B,ENT,2024-06-30T05:11:36
M00390,"Garcia, Myers and Barrera",B2C,STD,2024-05-19T06:44:51
M00391,Ortega Inc,MKT,PLT,2024-05-27T14:08:50
M00392,"Fuentes, Moore and Sullivan",B2C,ENT,2024-04-23T20:31:39
M00393,"Hansen, Davenport and Hoffman",B2C,PLT,2024-02-14T21:37:36
M00394,Wilson PLC,MKT,ENT,2024-04-13T05:18:55
M00395,"West, Barry and Black",B2C,ENT,2024-09-19T00:05:02
