shipment_id,order_id,shipped_at
S0000181,O000163,2025-09-21T21:29:58
S0000182,O000163,2025-10-08T21:29:58
S0000183,O000163,2025-10-16T21:29:58
S0000184,O000164,2025-01-25T09:57:04
S0000185,O000167,2025-06-18T17:50:37
S0000186,O000168,2024-11-21T22:15:11
S0000187,O000169,2025-04-12T09:29:03
S0000188,O000170,2026-01-22T11:06:20
S0000189,O000171,2025-06-16T17:01:20
S0000190,O000172,2025-09-28T13:36:37
S0000191,O000173,2026-02-16T10:02:44
S0000192,O000174,2024-12-07T21:25:34
S0000193,O000175,2025-12-02T10:35:11
S0000194,O000176,2024-12-22T00:48:54
S0000195,O000177,2025-08-21T06:09:40
S0000196,O000179,2024-12-17T19:12:58
S0000197,O000180,2025-07-09T12:25:38
S0000198,O000181,2024-11-18T14:31:05
S0000199,O000182,2025-02-18T03:45:12
S0000200,O000182,2025-03-24T03:45:12
S0000201,O000182,2025-03-17T03:45:12
S0000202,O000183,2025-05-10T16:26:43
S0000203,O000184,2026-01-04T06:04:12
S0000204,O000185,2024-11-29T22:23:10
S0000205,O000186,2025-07-23T18:28:02
S0000206,O000186,2025-08-14T18:28:02
S0000207,O000187,2025-07-18T12:05:12
S0000208,O000188,2025-04-16T07:26:25
S0000209,O000189,2025-12-20T12:28:55
S0000210,O000190,2025-07-12T14:44:56
S0000211,O000191,2025-10-23T09:00:03
S0000212,O000192,2025-12-31T20:13:54
S0000213,O000193,2025-02-18T06:34:58
S0000214,O000194,2024-12-03T12:43:34
S0000215,O000195,2024-12-28T06:35:59
S0000216,O000196,2026-03-07T13:07:15
S0000217,O000197,2025-05-25T13:54:10
S0000218,O000198,2026-03-31T10:24:53
S0000219,O000199,2026-04-16T13:33:12
S0000220,O000200,2026-04-23T09:25:11
S0000221,O000201,2025-06-27T23:42:45
S0000222,O000202,2026-02-22T22:33:14
S0000223,O000203,2025-12-03T01:16:11
S0000224,O000204,2025-12-21T06:35:59
S0000225,O000205,2025-02-16T00:32:34
S0000226,O000205,2025-04-15T00:32:34
S0000227,O000205,2025-03-29T00:32:34
S0000228,O000206,2025-03-21T10:08:07
S0000229,O000207,2026-04-08T22:16:54
S0000230,O000208,2025-07-27T14:58:17
S0000231,O000209,2024-11-23T04:37:28
S0000232,O000210,2025-07-30T19:49:22
S0000233,O000211,2025-12-06T06:49:06
S0000234,O000212,2026-03-23T19:42:16
S0000235,O000213,2025-11-22T06:59:28
S0000236,O000214,2025-03-03T03:45:28
S0000237,O000215,2026-03-28T04:37:20
S0000238,O000216,2026-02-25T09:56:25
S0000239,O000217,2025-12-23T22:15:59
S0000240,O000218,2025-04-24T05:00:20
S0000241,O000219,2026-04-12T13:49:11
S0000242,O000220,2025-01-09T21:13:02
S0000243,O000221,2024-12-27T19:40:47
S0000244,O000222,2025-11-18T07:28:25
S0000245,O000223,2024-12-26T07:04:43
S0000246,O000224,2025-12-02T12:53:07
S0000247,O000225,2025-05-20T11:17:18
S0000248,O000228,2025-12-29T18:32:48
S0000249,O000230,2025-11-30T19:59:46
S0000250,O000231,2026-01-06T11:12:50
S0000251,O000232,2026-01-27T06:28:34
S0000252,O000233,2025-12-17T00:16:10
S0000253,O000234,2026-01-10T12:36:51
S0000254,O000235,2024-11-22T01:39:18
S0000255,O000235,2024-12-28T01:39:18
S0000256,O000236,2026-01-24T07:50:58
S0000257,O000237,2025-10-23T22:01:36
S0000258,O000239,2025-06-30T10:41:56
S0000259,O000241,2025-12-21T00:34:08
S0000260,O000242,2024-12-19T13:37:09
S0000261,O000244,2024-12-10T15:05:44
S0000262,O000245,2025-09-15T09:55:30
S0000263,O000245,2025-10-08T09:55:30
S0000264,O000245,2025-10-12T09:55:30
S0000265,O000246,2025-06-03T02:44:37
S0000266,O000247,2024-12-23T04:45:10
S0000267,O000248,2025-09-14T18:37:08
S0000268,O000249,2025-05-05T22:00:59
S0000269,O000250,2026-01-15T16:10:34
S0000270,O000251,2025-09-10T15:57:22
S0000271,O000252,2026-03-06T09:37:42
S0000272,O000253,2025-05-31T00:12:11
S0000273,O000254,2026-01-30T18:15:34
S0000274,O000257,2024-11-14T18:51:28
S0000275,O000258,2025-12-21T02:31:08
S0000276,O000258,2026-01-13T02:31:08
S0000277,O000259,2025-03-15T03:49:27
S0000278,O000260,2025-10-25T15:27:54
S0000279,O000261,2025-07-06T22:23:17
S0000280,O000262,2024-12-13T02:35:31
S0000281,O000263,2026-01-10T00:26:18
S0000282,O000264,2025-03-26T23:25:50
S0000283,O000265,2025-12-14T09:32:43
S0000284,O000266,2025-07-08T15:18:16
S0000285,O000267,2025-09-07T19:00:22
S0000286,O000268,2025-08-10T12:05:46
S0000287,O000268,2025-10-08T12:05:46
S0000288,O000268,2025-09-29T12:05:46
S0000289,O000269,2025-08-23T22:06:48
S0000290,O000270,2025-07-27T09:05:08
S0000291,O000271,2025-11-07T21:28:43
S0000292,O000272,2025-08-09T17:50:57
S0000293,O000273,2025-10-17T19:25:59
S0000294,O000274,2025-05-18T11:47:56
S0000295,O000275,2025-08-27T14:40:54
S0000296,O000276,2025-03-05T07:25:50
S0000297,O000278,2026-04-19T09:47:59
S0000298,O000279,2025-09-21T04:50:49
S0000299,O000280,2026-04-18T12:40:56
S0000300,O000281,2025-11-04T21:21:44
S0000301,O000282,2025-06-24T08:34:31
S0000302,O000283,2025-09-08T11:20:50
S0000303,O000283,2025-09-26T11:20:50
S0000304,O000284,2025-09-17T07:23:02
S0000305,O000284,2025-11-04T07:23:02
S0000306,O000284,2025-10-23T07:23:02
S0000307,O000285,2025-05-31T16:04:56
S0000308,O000286,2025-03-01T03:49:09
S0000309,O000287,2025-10-01T10:21:41
S0000310,O000288,2025-12-28T05:51:23
S0000311,O000289,2025-03-11T15:15:41
S0000312,O000290,2026-03-16T19:07:33
S0000313,O000291,2025-02-06T22:07:34
S0000314,O000292,2026-01-26T20:44:51
S0000315,O000294,2025-07-23T12:30:40
S0000316,O000295,2025-04-19T14:29:38
S0000317,O000296,2025-12-18T18:20:35
S0000318,O000297,2025-10-08T22:15:26
S0000319,O000298,2025-11-15T07:47:14
S0000320,O000299,2026-04-26T10:27:21
S0000321,O000300,2026-04-04T08:28:55
S0000322,O000301,2025-09-04T08:56:47
S0000323,O000302,2025-08-02T11:03:14
S0000324,O000302,2025-08-23T11:03:14
S0000325,O000302,2025-09-09T11:03:14
S0000326,O000303,2025-05-29T09:50:49
S0000327,O000304,2025-01-06T04:11:59
S0000328,O000305,2025-07-28T14:08:33
S0000329,O000306,2025-10-17T13:24:27
S0000330,O000307,2025-07-17T16:26:42
S0000331,O000308,2026-01-24T19:52:58
S0000332,O000309,2025-01-05T12:50:18
S0000333,O000310,2025-01-10T02:30:35
S0000334,O000311,2026-02-04T16:06:27
S0000335,O000312,2026-03-12T10:07:35
S0000336,O000313,2024-11-26T12:13:20
S0000337,O000314,2025-05-31T23:39:35
S0000338,O000314,2025-07-16T23:39:35
S0000339,O000314,2025-06-21T23:39:35
S0000340,O000315,2025-03-21T08:18:26
S0000341,O000316,2025-11-13T08:45:39
S0000342,O000317,2025-01-09T19:51:00
S0000343,O000318,2025-01-22T21:23:05
S0000344,O000319,2026-03-30T22:35:57
S0000345,O000319,2026-05-01T00:00:00
S0000346,O000320,2025-06-15T08:45:46
S0000347,O000321,2026-01-28T20:29:18
S0000348,O000322,2025-04-11T19:58:09
S0000349,O000323,2025-10-15T01:13:42
S0000350,O000324,2025-11-08T17:13:19
S0000351,O000324,2026-01-04T17:13:19
S0000352,O000324,2025-12-01T17:13:19
S0000353,O000325,2025-01-21T01:37:13
S0000354,O000326,2025-02-13T04:03:39
S0000355,O000327,2025-11-22T17:28:50
S0000356,O000327,2026-01-07T17:28:50
S0000357,O000327,2026-01-14T17:28:50
S0000358,O000328,2024-11-03T01:05:27
S0000359,O000329,2025-01-28T01:51:10
S0000360,O000330,2025-06-22T15:46:12
S0000361,O000331,2025-06-17T20:18:29
S0000362,O000332,2025-01-08T09:42:40
S0000363,O000333,2025-01-09T09:48:50
S0000364,O000334,2025-04-10T00:07:14
S0000365,O000335,2025-09-24T17:21:21
S0000366,O000336,2026-04-03T03:28:18
S0000367,O000338,2026-02-05T05:52:02
S0000368,O000340,2025-04-29T18:45:46
S0000369,O000341,2025-11-06T15:44:08
S0000370,O000342,2026-01-15T09:32:16
S0000371,O000343,2025-08-04T22:05:14
S0000372,O000344,2025-07-01T18:30:15
S0000373,O000345,2026-01-03T10:47:44
S0000374,O000347,2025-09-10T08:11:01
S0000375,O000347,2025-10-05T08:11:01
S0000376,O000347,2025-09-27T08:11:01
S0000377,O000348,2025-05-14T10:31:13
S0000378,O000348,2025-07-11T10:31:13
S0000379,O000348,2025-06-27T10:31:13
S0000380,O000349,2025-07-21T12:36:21
S0000381,O000350,2025-10-15T08:11:56
S0000382,O000351,2025-07-12T07:25:29
S0000383,O000352,2025-05-11T12:55:33
S0000384,O000353,2025-04-19T00:19:49
S0000385,O000354,2025-06-10T09:26:09
S0000386,O000355,2024-12-26T19:41:04
S0000387,O000356,2026-01-03T02:30:09
S0000388,O000357,2026-03-03T11:09:41
S0000389,O000358,2025-12-01T02:51:42
S0000390,O000359,2026-03-08T20:24:44
S0000391,O000360,2025-09-24T19:49:50
S0000392,O000361,2025-10-28T19:52:22
S0000393,O000362,2025-09-07T02:26:47
S0000394,O000363,2025-05-02T14:52:14
S0000395,O000364,2025-02-04T14:30:25
S0000396,O000365,2025-01-04T01:53:46
S0000397,O000366,2025-12-24T14:30:23
S0000398,O000367,2025-04-15T19:21:43
S0000399,O000368,2026-03-16T19:10:53
S0000400,O000369,2025-03-28T20:50:18
S0000401,O000370,2025-05-27T22:06:14
S0000402,O000371,2025-06-23T14:17:50
S0000403,O000372,2025-10-15T06:26:45
S0000404,O000373,2025-06-04T03:53:09
S0000405,O000375,2025-06-26T10:17:30
S0000406,O000376,2026-03-30T22:41:49
S0000407,O000377,2026-01-25T20:38:57
S0000408,O000378,2024-12-27T18:50:27
S0000409,O000379,2024-12-29T11:15:14
S0000410,O000380,2025-10-15T22:27:29
S0000411,O000380,2025-12-13T22:27:29
S0000412,O000381,2026-03-10T01:13:40
S0000413,O000382,2025-03-06T04:11:05
S0000414,O000382,2025-03-24T04:11:05
S0000415,O000382,2025-04-03T04:11:05
S0000416,O000383,2025-10-25T10:19:08
S0000417,O000384,2025-03-18T09:21:41
S0000418,O000385,2024-12-15T23:25:14
S0000419,O000386,2025-09-23T10:28:00
S0000420,O000387,2025-01-27T13:40:24
S0000421,O000388,2025-10-13T08:26:16
S0000422,O000389,2025-12-22T02:36:47
S0000423,O000389,2026-02-07T02:36:47
S0000424,O000390,2025-11-11T08:12:11
S0000425,O000390,2025-11-28T08:12:11
S0000426,O000391,2025-08-19T01:30:24
S0000427,O000392,2025-02-20T14:48:49
S0000428,O000393,2025-07-02T17:52:24
S0000429,O000394,2025-03-28T03:19:10
S0000430,O000395,2026-03-09T11:07:15
S0000431,O000396,2025-10-20T13:45:38
S0000432,O000397,2025-06-24T13:49:06
S0000433,O000398,2026-03-08T08:00:56
S0000434,O000399,2025-06-25T14:07:07
S0000435,O000400,2025-12-05T16:55:22
S0000436,O000401,2025-04-22T06:12:48
S0000437,O000401,2025-05-11T06:12:48
S0000438,O000401,2025-05-17T06:12:48
S0000439,O000402,2025-10-09T06:25:44
S0000440,O000404,2025-03-16T00:39:58
S0000441,O000405,2025-02-25T17:15:23
S0000442,O000407,2025-10-29T20:46:03
S0000443,O000408,2025-03-10T18:02:37
S0000444,O000409,2025-11-10T22:10:51
S0000445,O000411,2025-08-10T12:16:31
S0000446,O000412,2025-02-01T09:35:55
S0000447,O000414,2026-01-09T20:30:48
S0000448,O000415,2025-03-23T20:11:48
S0000449,O000416,2025-04-05T13:32:43
S0000450,O000417,2024-12-29T05:48:51
S0000451,O000417,2025-02-08T05:48:51
S0000452,O000418,2025-07-29T07:58:54
S0000453,O000419,2025-11-23T06:33:25
S0000454,O000420,2025-06-30T22:18:28
S0000455,O000421,2025-12-28T11:27:17
S0000456,O000422,2026-02-09T04:21:56
S0000457,O000423,2026-03-22T06:46:02
S0000458,O000424,2026-03-03T22:21:43
S0000459,O000424,2026-04-23T22:21:43
S0000460,O000425,2026-01-03T22:10:51
S0000461,O000426,2025-12-24T04:58:26
S0000462,O000427,2026-04-17T09:51:38
S0000463,O000428,2025-09-28T17:57:55
S0000464,O000429,2025-08-03T04:59:36
S0000465,O000431,2025-04-23T03:36:33
S0000466,O000432,2025-04-10T03:35:06
S0000467,O000434,2025-06-23T16:42:41
S0000468,O000435,2025-06-11T04:55:49
S0000469,O000436,2024-12-16T17:05:29
S0000470,O000437,2025-08-05T09:30:55
S0000471,O000438,2026-01-07T19:54:36
S0000472,O000440,2025-01-10T05:07:37
S0000473,O000441,2025-05-25T00:24:18
S0000474,O000441,2025-06-26T00:24:18
S0000475,O000443,2024-11-26T17:20:38
S0000476,O000443,2025-01-12T17:20:38
S0000477,O000444,2026-01-17T12:01:23
S0000478,O000445,2026-04-14T04:30:40
S0000479,O000445,2026-05-01T00:00:00
S0000480,O000446,2024-12-30T13:44:26
S0000481,O000446,2025-01-27T13:44:26
S0000482,O000447,2025-01-13T17:12:36
S0000483,O000448,2025-01-08T10:45:44
S0000484,O000448,2025-02-25T10:45:44
S0000485,O000449,2025-04-28T05:42:56
S0000486,O000450,2025-01-22T18:50:40
S0000487,O000452,2025-08-09T05:22:35
S0000488,O000453,2025-10-18T13:18:07
S0000489,O000454,2025-08-26T03:00:18
S0000490,O000456,2025-06-12T08:44:24
S0000491,O000456,2025-07-31T08:44:24
S0000492,O000457,2026-02-10T06:41:47
S0000493,O000457,2026-03-23T06:41:47
S0000494,O000457,2026-04-06T06:41:47
S0000495,O000459,2025-07-23T18:00:02
S0000496,O000460,2025-05-15T00:43:37
S0000497,O000461,2025-09-10T19:00:51
S0000498,O000462,2025-09-26T18:38:57
S0000499,O000463,2025-06-29T17:56:15
S0000500,O000463,2025-07-23T17:56:15
S0000501,O000465,2026-04-24T07:09:36
S0000502,O000466,2025-08-26T05:46:13
S0000503,O000467,2025-11-10T05:11:01
S0000504,O000468,2026-03-07T13:59:21
S0000505,O000469,2025-06-27T20:36:48
S0000506,O000469,2025-08-01T20:36:48
S0000507,O000470,2025-02-11T03:29:36
S0000508,O000472,2024-11-17T03:25:00
S0000509,O000472,2024-12-11T03:25:00
S0000510,O000472,2024-12-07T03:25:00
S0000511,O000473,2025-11-20T12:12:18
S0000512,O000474,2025-09-17T01:59:22
S0000513,O000476,2025-08-15T23:48:05
S0000514,O000477,2024-12-23T13:18:14
S0000515,O000477,2025-01-27T13:18:14
S0000516,O000477,2025-02-11T13:18:14
S0000517,O000478,2024-11-10T11:15:06
S0000518,O000479,2025-07-28T02:39:29
S0000519,O000480,2025-06-01T18:26:40
S0000520,O000481,2026-04-12T11:28:10
S0000521,O000482,2026-01-22T09:18:26
S0000522,O000483,2025-12-19T07:50:10
S0000523,O000483,2026-02-13T07:50:10
S0000524,O000484,2025-06-05T23:02:53
S0000525,O000485,2025-06-28T15:17:33
S0000526,O000486,2024-12-11T13:08:57
S0000527,O000487,2025-12-26T21:57:43
S0000528,O000489,2025-06-01T23:12:07
S0000529,O000490,2025-01-12T06:54:28
S0000530,O000491,2025-05-13T08:32:59
S0000531,O000492,2025-05-15T19:07:52
S0000532,O000492,2025-07-08T19:07:52
S0000533,O000492,2025-06-09T19:07:52
S0000534,O000493,2025-01-15T10:17:12
S0000535,O000494,2025-11-19T02:14:23
S0000536,O000495,2026-04-09T07:39:14
S0000537,O000496,2025-02-07T01:23:40
S0000538,O000497,2025-06-15T21:42:24
S0000539,O000498,2025-02-14T05:53:56
S0000540,O000501,2026-01-21T20:25:10
S0000541,O000502,2025-05-02T05:29:51
S0000542,O000503,2025-05-17T20:05:48
S0000543,O000504,2024-12-07T06:13:42
S0000544,O000505,2025-11-15T12:03:03
S0000545,O000506,2025-03-28T06:17:19
S0000546,O000507,2026-03-30T00:31:33
S0000547,O000508,2025-02-10T20:18:43
S0000548,O000509,2024-12-30T11:46:23
S0000549,O000509,2025-01-31T11:46:23
S0000550,O000509,2025-02-27T11:46:23
S0000551,O000510,2026-03-31T16:31:06
S0000552,O000511,2026-02-02T08:11:38
S0000553,O000511,2026-03-19T08:11:38
S0000554,O000512,2025-09-26T21:23:13
S0000555,O000514,2025-05-09T18:39:59
S0000556,O000515,2025-02-13T19:53:19
S0000557,O000516,2025-06-02T05:34:40
S0000558,O000517,2025-06-27T04:13:22
S0000559,O000518,2025-09-08T22:35:00
S0000560,O000519,2025-04-01T14:56:39
S0000561,O000522,2025-05-30T18:27:08
S0000562,O000523,2025-09-03T03:52:34
S0000563,O000524,2025-08-30T11:09:35
S0000564,O000525,2025-06-18T00:09:33
S0000565,O000526,2025-05-17T07:42:14
S0000566,O000527,2026-01-09T00:28:31
S0000567,O000527,2026-02-10T00:28:31
S0000568,O000527,2026-01-27T00:28:31
S0000569,O000528,2025-08-08T07:05:24
S0000570,O000529,2024-12-01T21:38:03
S0000571,O000530,2025-09-03T08:28:00
S0000572,O000531,2025-11-11T08:59:08
S0000573,O000532,2026-03-25T04:54:22
S0000574,O000532,2026-04-23T04:54:22
S0000575,O000533,2024-11-13T03:23:16
S0000576,O000534,2025-01-04T07:47:22
S0000577,O000537,2025-06-12T18:48:21
S0000578,O000538,2026-01-21T04:40:32
S0000579,O000539,2025-12-05T17:44:35
S0000580,O000540,2026-02-17T17:14:49
S0000581,O000541,2024-12-27T04:46:58
S0000582,O000542,2026-03-05T21:29:31
S0000583,O000543,2026-02-07T09:01:45
S0000584,O000545,2026-02-12T00:55:48
S0000585,O000545,2026-04-13T00:55:48
S0000586,O000545,2026-03-30T00:55:48
S0000587,O000546,2025-08-06T21:20:09
S0000588,O000546,2025-09-14T21:20:09
S0000589,O000547,2024-12-26T19:33:46
S0000590,O000548,2025-02-09T04:38:07
S0000591,O000548,2025-03-17T04:38:07
S0000592,O000549,2026-03-14T23:53:18
S0000593,O000550,2026-03-20T01:45:49
S0000594,O000551,2025-05-13T04:25:08
S0000595,O000552,2024-11-30T07:53:05
S0000596,O000553,2026-03-04T13:52:54
S0000597,O000554,2025-07-16T11:47:48
S0000598,O000554,2025-08-19T11:47:48
S0000599,O000554,2025-08-31T11:47:48
S0000600,O000555,2025-11-16T20:01:38
S0000601,O000556,2026-01-17T20:19:33
S0000602,O000557,2024-11-24T19:44:42
S0000603,O000558,2026-04-13T06:08:04
S0000604,O000559,2024-11-06T19:37:13
S0000605,O000560,2025-10-10T12:34:10
S0000606,O000561,2024-12-14T09:09:45
S0000607,O000563,2025-01-27T07:18:20
S0000608,O000564,2025-12-12T09:39:53
S0000609,O000565,2025-12-26T16:06:45
S0000610,O000566,2026-03-22T00:37:12
S0000611,O000566,2026-05-01T00:00:00
S0000612,O000567,2026-02-02T06:07:54
S0000613,O000568,2024-12-07T01:40:23
S0000614,O000569,2025-03-12T02:18:15
S0000615,O000569,2025-04-29T02:18:15
S0000616,O000569,2025-04-24T02:18:15
S0000617,O000570,2025-12-10T00:43:26
S0000618,O000571,2025-03-16T16:01:10
S0000619,O000571,2025-04-02T16:01:10
S0000620,O000573,2025-01-09T21:00:18
S0000621,O000574,2025-03-25T08:36:33
S0000622,O000575,2024-11-15T02:48:17
S0000623,O000576,2025-12-01T19:31:14
S0000624,O000577,2025-10-19T09:16:31
S0000625,O000578,2025-04-06T05:29:21
S0000626,O000578,2025-05-10T05:29:21
S0000627,O000579,2025-04-16T04:59:47
S0000628,O000580,2025-01-12T16:32:18
S0000629,O000580,2025-01-31T16:32:18
S0000630,O000580,2025-03-12T16:32:18
S0000631,O000581,2025-06-26T13:04:10
S0000632,O000582,2026-02-17T13:38:06
S0000633,O000583,2026-04-01T00:13:25
S0000634,O000584,2026-03-27T06:26:26
