shipment_line_item_id,shipment_id,line_item_id,quantity_shipped
SL00000173,S0000107,L0000181,3
SL00000174,S0000108,L0000182,4
SL00000175,S0000108,L0000183,4
SL00000176,S0000108,L0000184,3
SL00000177,S0000109,L0000185,1
SL00000178,S0000109,L0000186,3
SL00000179,S0000109,L0000187,2
SL00000180,S0000110,L0000188,5
SL00000181,S0000110,L0000189,2
SL00000182,S0000110,L0000190,3
SL00000183,S0000111,L0000193,5
SL00000184,S0000111,L0000194,3
SL00000185,S0000111,L0000195,2
SL00000186,S0000112,L0000196,4
SL00000187,S0000113,L0000197,1
SL00000188,S0000113,L0000198,4
SL00000189,S0000113,L0000199,5
SL00000190,S0000114,L0000200,1
SL00000191,S0000114,L0000201,3
SL00000192,S0000115,L0000202,4
SL00000193,S0000116,L0000203,1
SL00000194,S0000116,L0000204,5
SL00000195,S0000117,L0000208,3
SL00000196,S0000117,L0000209,3
SL00000197,S0000118,L0000210,1
SL00000198,S0000118,L0000211,3
SL00000199,S0000118,L0000212,3
SL00000200,S0000119,L0000213,3
SL00000201,S0000120,L0000214,4
SL00000202,S0000121,L0000214,1
SL00000203,S0000123,L0000215,3
SL00000204,S0000123,L0000216,4
SL00000205,S0000124,L0000217,5
SL00000206,S0000125,L0000218,1
SL00000207,S0000127,L0000218,1
SL00000208,S0000125,L0000219,3
SL00000209,S0000128,L0000220,2
SL00000210,S0000129,L0000220,2
SL00000211,S0000131,L0000221,3
SL00000212,S0000131,L0000222,5
SL00000213,S0000132,L0000224,3
SL00000214,S0000132,L0000225,1
SL00000215,S0000133,L0000226,1
SL00000216,S0000133,L0000227,4
SL00000217,S0000134,L0000228,1
SL00000218,S0000135,L0000228,1
SL00000219,S0000136,L0000228,2
SL00000220,S0000134,L0000229,1
SL00000221,S0000137,L0000230,4
SL00000222,S0000138,L0000231,2
SL00000223,S0000138,L0000232,2
SL00000224,S0000139,L0000233,5
SL00000225,S0000139,L0000234,3
SL00000226,S0000139,L0000235,4
SL00000227,S0000140,L0000236,5
SL00000228,S0000140,L0000237,3
SL00000229,S0000141,L0000238,2
SL00000230,S0000142,L0000239,5
SL00000231,S0000143,L0000240,4
SL00000232,S0000143,L0000241,1
SL00000233,S0000143,L0000242,1
SL00000234,S0000144,L0000243,2
SL00000235,S0000145,L0000244,1
SL00000236,S0000145,L0000245,1
SL00000237,S0000146,L0000245,1
SL00000238,S0000145,L0000246,4
SL00000239,S0000146,L0000246,1
SL00000240,S0000147,L0000247,3
SL00000241,S0000148,L0000248,4
SL00000242,S0000149,L0000248,1
SL00000243,S0000148,L0000249,1
SL00000244,S0000149,L0000249,3
SL00000245,S0000150,L0000249,1
SL00000246,S0000151,L0000250,4
SL00000247,S0000152,L0000251,1
SL00000248,S0000152,L0000252,4
SL00000249,S0000152,L0000253,1
SL00000250,S0000153,L0000254,4
SL00000251,S0000154,L0000255,1
SL00000252,S0000155,L0000256,5
SL00000253,S0000155,L0000257,4
SL00000254,S0000156,L0000258,4
SL00000255,S0000156,L0000259,5
SL00000256,S0000156,L0000260,1
SL00000257,S0000157,L0000261,2
SL00000258,S0000157,L0000262,5
SL00000259,S0000158,L0000263,3
SL00000260,S0000158,L0000264,2
SL00000261,S0000159,L0000265,4
SL00000262,S0000159,L0000266,1
SL00000263,S0000160,L0000267,5
SL00000264,S0000160,L0000268,5
SL00000265,S0000161,L0000272,2
SL00000266,S0000162,L0000273,5
SL00000267,S0000163,L0000274,3
SL00000268,S0000164,L0000275,2
SL00000269,S0000166,L0000276,3
SL00000270,S0000166,L0000277,5
SL00000271,S0000166,L0000278,1
SL00000272,S0000167,L0000279,4
SL00000273,S0000168,L0000282,3
SL00000274,S0000169,L0000283,4
SL00000275,S0000170,L0000284,2
SL00000276,S0000171,L0000285,1
SL00000277,S0000171,L0000286,3
SL00000278,S0000172,L0000287,4
SL00000279,S0000172,L0000288,1
SL00000280,S0000173,L0000289,2
SL00000281,S0000173,L0000290,1
SL00000282,S0000173,L0000291,5
SL00000283,S0000174,L0000292,2
SL00000284,S0000174,L0000293,1
SL00000285,S0000174,L0000294,2
SL00000286,S0000174,L0000295,1
SL00000287,S0000175,L0000296,1
SL00000288,S0000175,L0000297,5
SL00000289,S0000175,L0000298,4
SL00000290,S0000176,L0000299,4
SL00000291,S0000176,L0000300,1
SL00000292,S0000176,L0000301,2
SL00000293,S0000177,L0000302,1
SL00000294,S0000178,L0000302,2
SL00000295,S0000177,L0000303,1
SL00000296,S0000180,L0000304,4
SL00000297,S0000181,L0000305,1
SL00000298,S0000183,L0000305,1
SL00000299,S0000184,L0000306,1
SL00000300,S0000184,L0000307,4
SL00000301,S0000184,L0000308,4
SL00000302,S0000185,L0000314,4
SL00000303,S0000186,L0000315,2
SL00000304,S0000187,L0000316,4
SL00000305,S0000187,L0000317,1
SL00000306,S0000188,L0000318,1
SL00000307,S0000189,L0000319,2
SL00000308,S0000190,L0000320,2
SL00000309,S0000190,L0000321,4
SL00000310,S0000191,L0000322,2
SL00000311,S0000192,L0000323,4
SL00000312,S0000192,L0000324,2
SL00000313,S0000193,L0000325,3
SL00000314,S0000194,L0000326,1
SL00000315,S0000194,L0000327,2
SL00000316,S0000195,L0000328,2
SL00000317,S0000196,L0000333,4
SL00000318,S0000196,L0000334,3
SL00000319,S0000197,L0000335,4
SL00000320,S0000197,L0000336,1
SL00000321,S0000198,L0000337,5
SL00000322,S0000198,L0000338,1
SL00000323,S0000198,L0000339,4
SL00000324,S0000198,L0000340,4
SL00000325,S0000199,L0000341,5
SL00000326,S0000200,L0000342,3
SL00000327,S0000199,L0000343,1
SL00000328,S0000201,L0000343,4
SL00000329,S0000202,L0000344,1
SL00000330,S0000202,L0000345,1
SL00000331,S0000203,L0000346,1
SL00000332,S0000203,L0000347,1
SL00000333,S0000204,L0000348,2
SL00000334,S0000204,L0000349,3
SL00000335,S0000205,L0000350,2
SL00000336,S0000206,L0000350,3
SL00000337,S0000206,L0000351,2
SL00000338,S0000205,L0000352,2
SL00000339,S0000207,L0000353,4
SL00000340,S0000208,L0000354,2
SL00000341,S0000208,L0000355,2
SL00000342,S0000210,L0000358,5
SL00000343,S0000211,L0000359,3
SL00000344,S0000212,L0000360,2
SL00000345,S0000212,L0000361,5
SL00000346,S0000213,L0000362,1
SL00000347,S0000214,L0000363,1
SL00000348,S0000214,L0000364,5
SL00000349,S0000214,L0000365,1
SL00000350,S0000215,L0000366,5
SL00000351,S0000215,L0000367,5
SL00000352,S0000216,L0000368,5
SL00000353,S0000216,L0000369,2
SL00000354,S0000216,L0000370,4
SL00000355,S0000217,L0000371,4
SL00000356,S0000218,L0000372,4
SL00000357,S0000219,L0000373,4
SL00000358,S0000220,L0000375,2
SL00000359,S0000221,L0000376,3
SL00000360,S0000222,L0000377,2
SL00000361,S0000222,L0000378,5
SL00000362,S0000222,L0000379,4
SL00000363,S0000223,L0000380,4
SL00000364,S0000223,L0000381,5
SL00000365,S0000224,L0000382,2
SL00000366,S0000226,L0000383,4
SL00000367,S0000226,L0000384,3
SL00000368,S0000225,L0000385,1
SL00000369,S0000227,L0000385,2
SL00000370,S0000227,L0000386,2
SL00000371,S0000228,L0000387,4
SL00000372,S0000228,L0000388,4
SL00000373,S0000228,L0000389,1
SL00000374,S0000229,L0000390,3
SL00000375,S0000229,L0000391,2
SL00000376,S0000230,L0000392,3
SL00000377,S0000231,L0000393,2
SL00000378,S0000231,L0000394,1
SL00000379,S0000232,L0000395,1
SL00000380,S0000233,L0000396,5
SL00000381,S0000233,L0000397,3
SL00000382,S0000233,L0000398,2
SL00000383,S0000234,L0000399,5
SL00000384,S0000234,L0000400,1
SL00000385,S0000235,L0000401,2
SL00000386,S0000235,L0000402,1
SL00000387,S0000235,L0000403,3
SL00000388,S0000236,L0000404,4
SL00000389,S0000237,L0000405,2
SL00000390,S0000237,L0000406,4
SL00000391,S0000237,L0000407,2
SL00000392,S0000238,L0000408,5
SL00000393,S0000238,L0000409,2
SL00000394,S0000238,L0000410,4
SL00000395,S0000240,L0000412,5
SL00000396,S0000241,L0000413,4
SL00000397,S0000241,L0000414,5
SL00000398,S0000242,L0000415,2
SL00000399,S0000242,L0000416,5
SL00000400,S0000243,L0000417,3
SL00000401,S0000243,L0000418,4
SL00000402,S0000244,L0000419,3
SL00000403,S0000245,L0000420,2
SL00000404,S0000245,L0000421,3
SL00000405,S0000245,L0000422,3
SL00000406,S0000246,L0000423,2
SL00000407,S0000246,L0000424,2
SL00000408,S0000247,L0000425,4
SL00000409,S0000248,L0000430,1
SL00000410,S0000249,L0000434,1
SL00000411,S0000249,L0000435,5
SL00000412,S0000249,L0000436,1
SL00000413,S0000249,L0000437,2
SL00000414,S0000250,L0000438,5
SL00000415,S0000250,L0000439,2
SL00000416,S0000251,L0000440,4
SL00000417,S0000251,L0000441,1
SL00000418,S0000251,L0000442,4
SL00000419,S0000252,L0000443,4
SL00000420,S0000252,L0000444,2
SL00000421,S0000253,L0000445,1
SL00000422,S0000253,L0000446,4
SL00000423,S0000254,L0000447,3
SL00000424,S0000254,L0000448,1
SL00000425,S0000255,L0000448,1
SL00000426,S0000254,L0000449,1
SL00000427,S0000255,L0000449,1
SL00000428,S0000256,L0000450,2
SL00000429,S0000256,L0000451,4
SL00000430,S0000257,L0000452,5
SL00000431,S0000257,L0000453,4
SL00000432,S0000257,L0000454,5
SL00000433,S0000258,L0000457,2
SL00000434,S0000258,L0000458,1
SL00000435,S0000258,L0000459,2
SL00000436,S0000259,L0000463,1
SL00000437,S0000259,L0000464,1
SL00000438,S0000261,L0000468,5
SL00000439,S0000261,L0000469,1
SL00000440,S0000262,L0000470,1
SL00000441,S0000263,L0000470,1
SL00000442,S0000265,L0000471,2
SL00000443,S0000265,L0000472,4
SL00000444,S0000266,L0000473,5
SL00000445,S0000267,L0000474,2
SL00000446,S0000267,L0000475,2
SL00000447,S0000268,L0000476,2
SL00000448,S0000269,L0000477,2
SL00000449,S0000270,L0000478,2
SL00000450,S0000270,L0000479,3
SL00000451,S0000271,L0000480,5
SL00000452,S0000271,L0000481,3
SL00000453,S0000272,L0000482,1
SL00000454,S0000272,L0000483,3
SL00000455,S0000273,L0000484,1
SL00000456,S0000274,L0000488,2
SL00000457,S0000275,L0000489,3
SL00000458,S0000276,L0000489,2
SL00000459,S0000275,L0000490,3
SL00000460,S0000276,L0000490,1
SL00000461,S0000277,L0000491,4
SL00000462,S0000277,L0000492,2
SL00000463,S0000278,L0000493,3
SL00000464,S0000278,L0000494,1
SL00000465,S0000278,L0000495,4
SL00000466,S0000279,L0000496,3
SL00000467,S0000280,L0000497,4
SL00000468,S0000280,L0000498,2
SL00000469,S0000281,L0000499,2
SL00000470,S0000281,L0000500,1
SL00000471,S0000282,L0000501,5
SL00000472,S0000282,L0000502,2
SL00000473,S0000282,L0000503,3
SL00000474,S0000282,L0000504,3
SL00000475,S0000283,L0000505,3
SL00000476,S0000283,L0000506,2
SL00000477,S0000284,L0000507,1
SL00000478,S0000284,L0000508,1
SL00000479,S0000285,L0000509,1
SL00000480,S0000285,L0000510,4
SL00000481,S0000285,L0000511,1
SL00000482,S0000286,L0000512,2
SL00000483,S0000289,L0000513,4
SL00000484,S0000289,L0000514,2
SL00000485,S0000290,L0000515,2
SL00000486,S0000291,L0000516,3
SL00000487,S0000291,L0000517,1
SL00000488,S0000292,L0000518,5
SL00000489,S0000292,L0000519,4
SL00000490,S0000292,L0000520,3
SL00000491,S0000293,L0000521,3
SL00000492,S0000293,L0000522,3
SL00000493,S0000294,L0000523,5
SL00000494,S0000294,L0000524,1
SL00000495,S0000295,L0000525,4
SL00000496,S0000296,L0000526,5
SL00000497,S0000296,L0000527,3
SL00000498,S0000296,L0000528,1
SL00000499,S0000297,L0000531,1
SL00000500,S0000297,L0000532,4
SL00000501,S0000298,L0000533,4
SL00000502,S0000299,L0000534,3
SL00000503,S0000299,L0000535,2
SL00000504,S0000300,L0000536,3
SL00000505,S0000300,L0000537,1
SL00000506,S0000301,L0000538,4
SL00000507,S0000303,L0000539,1
SL00000508,S0000302,L0000540,2
SL00000509,S0000304,L0000541,2
SL00000510,S0000306,L0000541,1
SL00000511,S0000305,L0000542,1
SL00000512,S0000307,L0000544,3
SL00000513,S0000307,L0000545,3
SL00000514,S0000308,L0000546,2
SL00000515,S0000308,L0000547,4
SL00000516,S0000309,L0000548,3
SL00000517,S0000309,L0000549,3
SL00000518,S0000310,L0000550,1
SL00000519,S0000310,L0000551,1
SL00000520,S0000311,L0000552,5
SL00000521,S0000311,L0000553,2
SL00000522,S0000311,L0000554,5
SL00000523,S0000312,L0000555,1
SL00000524,S0000313,L0000557,3
SL00000525,S0000313,L0000558,1
SL00000526,S0000314,L0000559,5
SL00000527,S0000315,L0000561,5
SL00000528,S0000315,L0000562,4
SL00000529,S0000316,L0000563,2
SL00000530,S0000316,L0000564,5
SL00000531,S0000316,L0000565,1
SL00000532,S0000317,L0000566,5
SL00000533,S0000318,L0000567,1
SL00000534,S0000319,L0000568,2
SL00000535,S0000319,L0000569,5
SL00000536,S0000319,L0000570,4
SL00000537,S0000320,L0000571,4
SL00000538,S0000321,L0000572,1
SL00000539,S0000321,L0000573,2
SL00000540,S0000321,L0000574,2
SL00000541,S0000322,L0000575,4
SL00000542,S0000322,L0000576,2
SL00000543,S0000323,L0000577,1
SL00000544,S0000324,L0000577,1
SL00000545,S0000326,L0000578,1
SL00000546,S0000326,L0000579,1
SL00000547,S0000326,L0000580,2
SL00000548,S0000326,L0000581,3
SL00000549,S0000327,L0000582,5
SL00000550,S0000328,L0000583,5
SL00000551,S0000328,L0000584,3
SL00000552,S0000328,L0000585,5
SL00000553,S0000329,L0000586,1
SL00000554,S0000330,L0000587,5
SL00000555,S0000330,L0000588,2
SL00000556,S0000331,L0000589,1
SL00000557,S0000331,L0000590,2
SL00000558,S0000332,L0000591,3
SL00000559,S0000332,L0000592,2
SL00000560,S0000333,L0000594,1
SL00000561,S0000334,L0000595,3
SL00000562,S0000334,L0000596,1
SL00000563,S0000335,L0000597,2
SL00000564,S0000336,L0000598,5
SL00000565,S0000336,L0000599,3
SL00000566,S0000337,L0000600,1
SL00000567,S0000339,L0000600,4
SL00000568,S0000337,L0000601,1
SL00000569,S0000338,L0000601,1
SL00000570,S0000337,L0000602,3
SL00000571,S0000338,L0000602,1
SL00000572,S0000337,L0000603,4
SL00000573,S0000339,L0000603,1
SL00000574,S0000340,L0000604,2
SL00000575,S0000340,L0000605,1
SL00000576,S0000341,L0000606,5
SL00000577,S0000341,L0000607,1
SL00000578,S0000342,L0000608,5
SL00000579,S0000342,L0000609,4
SL00000580,S0000342,L0000610,4
SL00000581,S0000343,L0000611,1
SL00000582,S0000343,L0000612,2
SL00000583,S0000343,L0000613,2
SL00000584,S0000344,L0000614,2
SL00000585,S0000345,L0000614,2
SL00000586,S0000345,L0000615,1
SL00000587,S0000346,L0000616,2
SL00000588,S0000347,L0000617,1
SL00000589,S0000347,L0000618,5
SL00000590,S0000347,L0000619,1
SL00000591,S0000348,L0000620,5
SL00000592,S0000348,L0000621,1
SL00000593,S0000348,L0000622,4
SL00000594,S0000349,L0000623,1
SL00000595,S0000349,L0000624,1
SL00000596,S0000350,L0000625,3
SL00000597,S0000351,L0000625,1
SL00000598,S0000352,L0000625,1
SL00000599,S0000350,L0000626,2
SL00000600,S0000353,L0000627,3
SL00000601,S0000354,L0000628,1
SL00000602,S0000354,L0000629,2
SL00000603,S0000354,L0000630,5
SL00000604,S0000355,L0000631,1
SL00000605,S0000356,L0000631,4
SL00000606,S0000355,L0000632,1
SL00000607,S0000356,L0000632,2
SL00000608,S0000356,L0000633,1
SL00000609,S0000358,L0000634,3
SL00000610,S0000359,L0000635,3
SL00000611,S0000359,L0000636,5
SL00000612,S0000360,L0000637,4
SL00000613,S0000361,L0000638,2
SL00000614,S0000361,L0000639,4
SL00000615,S0000361,L0000640,5
SL00000616,S0000361,L0000641,5
SL00000617,S0000362,L0000642,5
SL00000618,S0000363,L0000643,4
SL00000619,S0000363,L0000644,1
SL00000620,S0000363,L0000645,5
SL00000621,S0000363,L0000646,3
SL00000622,S0000364,L0000647,1
SL00000623,S0000364,L0000648,1
SL00000624,S0000365,L0000649,1
SL00000625,S0000365,L0000650,5
SL00000626,S0000365,L0000651,4
SL00000627,S0000366,L0000652,2
SL00000628,S0000366,L0000653,5
SL00000629,S0000367,L0000658,3
SL00000630,S0000367,L0000659,2
SL00000631,S0000368,L0000661,2
SL00000632,S0000368,L0000662,3
SL00000633,S0000369,L0000663,3
SL00000634,S0000369,L0000664,4
SL00000635,S0000369,L0000665,1
SL00000636,S0000370,L0000666,3
SL00000637,S0000371,L0000667,4
SL00000638,S0000371,L0000668,2
SL00000639,S0000372,L0000669,1
SL00000640,S0000372,L0000670,3
SL00000641,S0000372,L0000671,2
SL00000642,S0000373,L0000672,5
SL00000643,S0000375,L0000674,1
SL00000644,S0000375,L0000675,4
SL00000645,S0000377,L0000676,1
SL00000646,S0000377,L0000677,2
SL00000647,S0000378,L0000677,2
SL00000648,S0000379,L0000677,1
SL00000649,S0000380,L0000678,5
SL00000650,S0000380,L0000679,5
SL00000651,S0000381,L0000680,2
SL00000652,S0000382,L0000681,4
SL00000653,S0000382,L0000682,5
SL00000654,S0000382,L0000683,5
SL00000655,S0000383,L0000684,4
SL00000656,S0000384,L0000685,2
SL00000657,S0000385,L0000686,1
SL00000658,S0000385,L0000687,4
SL00000659,S0000385,L0000688,5
SL00000660,S0000386,L0000689,2
SL00000661,S0000387,L0000690,1
SL00000662,S0000388,L0000691,4
SL00000663,S0000388,L0000692,3
SL00000664,S0000388,L0000693,2
SL00000665,S0000389,L0000694,1
SL00000666,S0000389,L0000695,5
SL00000667,S0000390,L0000696,2
SL00000668,S0000391,L0000697,2
SL00000669,S0000392,L0000698,1
SL00000670,S0000393,L0000699,5
SL00000671,S0000393,L0000700,4
SL00000672,S0000394,L0000701,3
SL00000673,S0000394,L0000702,4
SL00000674,S0000395,L0000703,3
SL00000675,S0000395,L0000704,1
SL00000676,S0000396,L0000705,4
SL00000677,S0000396,L0000706,3
SL00000678,S0000396,L0000707,1
SL00000679,S0000397,L0000708,3
SL00000680,S0000398,L0000709,1
SL00000681,S0000399,L0000710,3
SL00000682,S0000400,L0000711,3
SL00000683,S0000400,L0000712,4
SL00000684,S0000400,L0000713,1
SL00000685,S0000401,L0000714,3
SL00000686,S0000402,L0000715,1
SL00000687,S0000403,L0000716,1
SL00000688,S0000403,L0000717,4
SL00000689,S0000404,L0000718,2
SL00000690,S0000404,L0000719,4
SL00000691,S0000405,L0000723,4
SL00000692,S0000405,L0000724,4
SL00000693,S0000405,L0000725,4
SL00000694,S0000406,L0000726,2
SL00000695,S0000406,L0000727,4
SL00000696,S0000406,L0000728,2
SL00000697,S0000407,L0000729,3
SL00000698,S0000408,L0000730,3
SL00000699,S0000408,L0000731,4
SL00000700,S0000408,L0000732,1
SL00000701,S0000409,L0000733,1
SL00000702,S0000411,L0000734,5
SL00000703,S0000411,L0000735,2
SL00000704,S0000411,L0000736,1
SL00000705,S0000412,L0000737,3
SL00000706,S0000414,L0000738,2
SL00000707,S0000416,L0000739,1
SL00000708,S0000417,L0000740,2
SL00000709,S0000417,L0000741,2
SL00000710,S0000418,L0000742,5
SL00000711,S0000419,L0000743,3
SL00000712,S0000419,L0000744,2
SL00000713,S0000420,L0000745,3
SL00000714,S0000420,L0000746,1
SL00000715,S0000421,L0000747,2
SL00000716,S0000422,L0000748,2
SL00000717,S0000423,L0000748,2
SL00000718,S0000422,L0000749,5
SL00000719,S0000424,L0000750,1
SL00000720,S0000425,L0000750,1
SL00000721,S0000426,L0000751,2
SL00000722,S0000426,L0000752,2
SL00000723,S0000427,L0000753,2
SL00000724,S0000427,L0000754,2
SL00000725,S0000428,L0000755,4
SL00000726,S0000428,L0000756,2
SL00000727,S0000428,L0000757,5
SL00000728,S0000429,L0000758,5
SL00000729,S0000429,L0000759,1
SL00000730,S0000430,L0000760,2
SL00000731,S0000430,L0000761,4
SL00000732,S0000431,L0000762,1
SL00000733,S0000432,L0000763,5
SL00000734,S0000433,L0000764,2
SL00000735,S0000433,L0000765,1
SL00000736,S0000434,L0000766,3
SL00000737,S0000434,L0000767,1
SL00000738,S0000434,L0000768,4
SL00000739,S0000435,L0000769,2
SL00000740,S0000435,L0000770,3
SL00000741,S0000435,L0000771,3
SL00000742,S0000437,L0000772,2
SL00000743,S0000438,L0000772,2
SL00000744,S0000439,L0000773,1
SL00000745,S0000439,L0000774,2
SL00000746,S0000439,L0000775,3
SL00000747,S0000440,L0000777,2
SL00000748,S0000440,L0000778,5
SL00000749,S0000441,L0000779,5
SL00000750,S0000442,L0000783,5
SL00000751,S0000443,L0000784,4
SL00000752,S0000443,L0000785,2
SL00000753,S0000443,L0000786,1
SL00000754,S0000444,L0000787,2
SL00000755,S0000444,L0000788,4
SL00000756,S0000444,L0000789,4
SL00000757,S0000445,L0000792,1
SL00000758,S0000446,L0000793,1
SL00000759,S0000447,L0000795,5
SL00000760,S0000447,L0000796,2
SL00000761,S0000448,L0000797,2
SL00000762,S0000448,L0000798,1
SL00000763,S0000448,L0000799,1
SL00000764,S0000449,L0000800,2
SL00000765,S0000449,L0000801,4
SL00000766,S0000449,L0000802,5
SL00000767,S0000450,L0000803,1
SL00000768,S0000451,L0000803,3
SL00000769,S0000450,L0000804,3
SL00000770,S0000452,L0000805,2
SL00000771,S0000452,L0000806,1
SL00000772,S0000453,L0000807,2
SL00000773,S0000453,L0000808,1
SL00000774,S0000454,L0000809,3
