line_item_id,order_id,product_id,quantity,unit_price_in_cents,line_status
L0000060,O000030,P0101,5,33623,fulfilled
L0000061,O000031,P0159,2,41448,fulfilled
L0000062,O000032,P0232,1,6785,fulfilled
L0000063,O000032,P0182,1,3314,fulfilled
L0000064,O000032,P0373,2,12848,fulfilled
L0000065,O000033,P0152,2,28913,fulfilled
L0000066,O000034,P0103,1,1102,fulfilled
L0000067,O000034,P0194,1,14039,fulfilled
L0000068,O000035,P0293,3,8384,fulfilled
L0000069,O000035,P0018,4,38667,fulfilled
L0000070,O000036,P0310,4,30267,fulfilled
L0000071,O000036,P0315,5,9482,fulfilled
L0000072,O000036,P0459,1,28283,fulfilled
L0000073,O000037,P0287,2,41591,fulfilled
L0000074,O000038,P0151,2,18946,fulfilled
L0000075,O000038,P0092,1,18976,fulfilled
L0000076,O000038,P0325,3,1657,fulfilled
L0000077,O000039,P0021,5,17840,fulfilled
L0000078,O000040,P0075,2,40159,fulfilled
L0000079,O000041,P0122,4,32982,fulfilled
L0000080,O000041,P0157,3,43985,fulfilled
L0000081,O000042,P0239,2,6236,fulfilled
L0000082,O000043,P0391,4,43193,fulfilled
L0000083,O000044,P0275,2,11153,pending
L0000084,O000044,P0063,5,22617,pending
L0000085,O000045,P0221,1,30540,fulfilled
L0000086,O000045,P0440,5,1245,fulfilled
L0000087,O000046,P0390,4,4450,fulfilled
L0000088,O000046,P0486,3,42678,fulfilled
L0000089,O000047,P0303,5,32312,fulfilled
L0000090,O000047,P0266,2,6330,fulfilled
L0000091,O000048,P0214,5,28044,fulfilled
L0000092,O000049,P0317,1,28266,cancelled
L0000093,O000049,P0122,4,37352,cancelled
L0000094,O000050,P0238,5,16759,fulfilled
L0000095,O000050,P0183,2,16056,fulfilled
L0000096,O000051,P0254,5,42393,fulfilled
L0000097,O000051,P0446,1,22848,fulfilled
L0000098,O000052,P0465,2,19184,fulfilled
L0000099,O000052,P0483,4,5249,fulfilled
L0000100,O000052,P0165,5,32962,fulfilled
L0000101,O000053,P0050,2,33505,fulfilled
L0000102,O000053,P0181,2,13131,fulfilled
L0000103,O000054,P0210,4,26562,fulfilled
L0000104,O000054,P0181,3,12930,fulfilled
L0000105,O000055,P0020,2,26764,fulfilled
L0000106,O000055,P0425,1,16542,fulfilled
L0000107,O000056,P0334,4,35450,fulfilled
L0000108,O000056,P0217,3,11783,fulfilled
L0000109,O000056,P0219,5,33449,fulfilled
L0000110,O000057,P0253,4,38841,fulfilled
L0000111,O000058,P0196,2,34906,fulfilled
L0000112,O000058,P0484,4,32618,fulfilled
L0000113,O000058,P0187,2,22954,fulfilled
L0000114,O000058,P0208,5,21180,fulfilled
L0000115,O000059,P0039,4,33205,pending
L0000116,O000059,P0073,3,15077,fulfilled
L0000117,O000060,P0491,3,3416,fulfilled
L0000118,O000060,P0017,4,48571,fulfilled
L0000119,O000060,P0289,3,25818,fulfilled
L0000120,O000061,P0210,1,26221,fulfilled
L0000121,O000062,P0169,1,40945,fulfilled
L0000122,O000063,P0348,4,22806,fulfilled
L0000123,O000064,P0257,2,22640,fulfilled
L0000124,O000065,P0434,1,19228,fulfilled
L0000125,O000066,P0138,4,38137,fulfilled
L0000126,O000067,P0369,5,39302,pending
L0000127,O000067,P0222,3,28807,pending
L0000128,O000068,P0264,4,6017,fulfilled
L0000129,O000068,P0443,2,12007,fulfilled
L0000130,O000069,P0466,1,19736,fulfilled
L0000131,O000069,P0119,5,44003,fulfilled
L0000132,O000069,P0389,2,30429,fulfilled
L0000133,O000070,P0116,3,36705,fulfilled
L0000134,O000070,P0248,3,4243,fulfilled
L0000135,O000070,P0495,5,10894,fulfilled
L0000136,O000071,P0360,3,21853,fulfilled
L0000137,O000071,P0277,4,29021,fulfilled
L0000138,O000071,P0260,5,4725,fulfilled
L0000139,O000072,P0494,1,41668,fulfilled
L0000140,O000072,P0356,3,2997,fulfilled
L0000141,O000072,P0013,4,33361,fulfilled
L0000142,O000073,P0345,4,42151,fulfilled
L0000143,O000073,P0240,5,21522,fulfilled
L0000144,O000073,P0349,5,10604,fulfilled
L0000145,O000073,P0478,1,19484,fulfilled
L0000146,O000074,P0108,3,15328,fulfilled
L0000147,O000074,P0298,2,37309,fulfilled
L0000148,O000075,P0393,2,38029,fulfilled
L0000149,O000075,P0226,5,31376,fulfilled
L0000150,O000076,P0047,5,46477,fulfilled
L0000151,O000076,P0141,3,37329,fulfilled
L0000152,O000077,P0250,2,4699,fulfilled
L0000153,O000077,P0016,2,41248,fulfilled
L0000154,O000078,P0128,1,28476,fulfilled
L0000155,O000079,P0172,4,38659,fulfilled
L0000156,O000080,P0082,4,41813,fulfilled
L0000157,O000081,P0133,3,43111,fulfilled
L0000158,O000082,P0230,1,45613,cancelled
L0000159,O000083,P0395,3,38848,fulfilled
L0000160,O000083,P0451,1,33114,fulfilled
L0000161,O000083,P0023,4,38645,fulfilled
L0000162,O000083,P0333,1,16374,fulfilled
L0000163,O000084,P0412,2,19609,fulfilled
L0000164,O000084,P0264,3,6046,fulfilled
L0000165,O000085,P0374,4,6004,fulfilled
L0000166,O000085,P0379,3,30086,fulfilled
L0000167,O000086,P0017,3,43197,fulfilled
L0000168,O000087,P0004,2,4304,fulfilled
L0000169,O000088,P0368,5,26875,fulfilled
L0000170,O000088,P0411,3,48802,fulfilled
L0000171,O000089,P0063,2,21053,pending
L0000172,O000090,P0017,3,47773,fulfilled
L0000173,O000091,P0478,4,18639,fulfilled
L0000174,O000092,P0279,1,22635,fulfilled
L0000175,O000093,P0491,1,3441,cancelled
L0000176,O000094,P0296,2,40038,fulfilled
L0000177,O000095,P0218,5,41576,fulfilled
L0000178,O000096,P0434,4,18076,fulfilled
L0000179,O000096,P0180,4,37385,fulfilled
L0000180,O000097,P0389,4,32861,fulfilled
L0000181,O000098,P0052,3,23347,fulfilled
L0000182,O000099,P0022,4,24516,fulfilled
L0000183,O000099,P0301,4,2650,fulfilled
L0000184,O000099,P0420,3,14892,fulfilled
L0000185,O000100,P0436,1,16364,fulfilled
L0000186,O000100,P0200,3,34222,fulfilled
L0000187,O000100,P0466,2,20364,fulfilled
L0000188,O000101,P0177,5,33901,fulfilled
L0000189,O000101,P0151,2,17033,fulfilled
L0000190,O000101,P0178,3,24192,fulfilled
L0000191,O000102,P0431,3,31001,pending
L0000192,O000102,P0112,3,12702,pending
L0000193,O000103,P0464,5,9941,fulfilled
L0000194,O000103,P0069,3,40385,fulfilled
L0000195,O000103,P0442,2,41070,fulfilled
L0000196,O000104,P0086,4,28838,fulfilled
L0000197,O000105,P0350,1,38100,fulfilled
L0000198,O000105,P0204,4,37075,fulfilled
L0000199,O000105,P0284,5,10311,fulfilled
L0000200,O000106,P0465,1,20717,fulfilled
L0000201,O000106,P0410,3,21130,fulfilled
L0000202,O000107,P0067,4,19682,fulfilled
L0000203,O000108,P0495,1,10938,fulfilled
L0000204,O000108,P0438,5,45736,fulfilled
L0000205,O000109,P0214,5,25962,cancelled
L0000206,O000109,P0145,3,32684,cancelled
L0000207,O000109,P0179,3,40488,cancelled
L0000208,O000110,P0105,3,39218,fulfilled
L0000209,O000110,P0142,3,17378,fulfilled
L0000210,O000111,P0478,1,19063,fulfilled
L0000211,O000111,P0322,3,37775,fulfilled
L0000212,O000111,P0438,3,45995,fulfilled
L0000213,O000112,P0282,3,27900,fulfilled
L0000214,O000113,P0288,5,4874,fulfilled
L0000215,O000114,P0044,4,25312,pending
L0000216,O000114,P0040,5,1242,pending
L0000217,O000115,P0049,5,26787,fulfilled
L0000218,O000116,P0085,2,35553,fulfilled
L0000219,O000116,P0363,3,4328,fulfilled
L0000220,O000117,P0416,4,825,fulfilled
L0000221,O000118,P0367,3,10145,fulfilled
L0000222,O000118,P0360,5,21986,fulfilled
L0000223,O000119,P0170,5,22079,pending
L0000224,O000120,P0090,3,40646,fulfilled
L0000225,O000120,P0346,1,20238,fulfilled
L0000226,O000121,P0283,1,26165,fulfilled
L0000227,O000121,P0153,4,8876,fulfilled
L0000228,O000122,P0188,4,33181,fulfilled
L0000229,O000122,P0104,1,14906,fulfilled
L0000230,O000123,P0472,4,29659,fulfilled
L0000231,O000124,P0341,2,11449,fulfilled
L0000232,O000124,P0064,2,5434,fulfilled
L0000233,O000125,P0481,5,1588,fulfilled
L0000234,O000125,P0005,3,30705,fulfilled
L0000235,O000125,P0050,4,29733,fulfilled
L0000236,O000126,P0142,5,17037,fulfilled
L0000237,O000126,P0462,3,36026,fulfilled
L0000238,O000127,P0093,2,14277,fulfilled
L0000239,O000128,P0159,5,40521,fulfilled
L0000240,O000129,P0392,4,14128,fulfilled
L0000241,O000129,P0021,1,17138,fulfilled
L0000242,O000129,P0237,1,12830,fulfilled
L0000243,O000130,P0077,2,44898,fulfilled
L0000244,O000131,P0264,1,5290,fulfilled
L0000245,O000131,P0397,2,39063,fulfilled
L0000246,O000131,P0392,5,13835,fulfilled
L0000247,O000132,P0147,3,6536,fulfilled
L0000248,O000133,P0344,5,39865,fulfilled
L0000249,O000133,P0349,5,10722,fulfilled
L0000250,O000134,P0067,4,20051,fulfilled
L0000251,O000135,P0469,1,40422,fulfilled
L0000252,O000135,P0247,4,11957,fulfilled
L0000253,O000135,P0288,1,4613,fulfilled
L0000254,O000136,P0178,4,23232,fulfilled
L0000255,O000137,P0268,1,30803,fulfilled
L0000256,O000138,P0414,5,29274,fulfilled
L0000257,O000138,P0158,4,45452,fulfilled
L0000258,O000139,P0316,4,9879,fulfilled
L0000259,O000139,P0423,5,41946,fulfilled
L0000260,O000139,P0341,1,12041,fulfilled
L0000261,O000140,P0233,2,13153,fulfilled
L0000262,O000140,P0470,5,19431,fulfilled
L0000263,O000141,P0253,3,41466,fulfilled
L0000264,O000141,P0218,2,41003,fulfilled
L0000265,O000142,P0461,4,15920,fulfilled
L0000266,O000142,P0099,1,34971,fulfilled
L0000267,O000143,P0416,5,787,fulfilled
L0000268,O000143,P0147,5,6870,fulfilled
L0000269,O000144,P0058,3,40352,pending
L0000270,O000144,P0151,1,16515,pending
L0000271,O000144,P0235,3,39772,pending
L0000272,O000145,P0005,2,30177,fulfilled
L0000273,O000146,P0182,5,3203,fulfilled
L0000274,O000147,P0436,3,16285,fulfilled
L0000275,O000148,P0321,2,41230,fulfilled
L0000276,O000149,P0226,3,31941,fulfilled
L0000277,O000149,P0043,5,16075,fulfilled
L0000278,O000149,P0139,1,24315,fulfilled
L0000279,O000150,P0417,4,16676,fulfilled
L0000280,O000151,P0297,1,26000,pending
L0000281,O000151,P0142,4,16088,pending
L0000282,O000152,P0255,3,35186,fulfilled
L0000283,O000153,P0487,4,18204,fulfilled
L0000284,O000154,P0083,2,20205,fulfilled
L0000285,O000155,P0232,1,6298,fulfilled
L0000286,O000155,P0258,3,29997,fulfilled
L0000287,O000156,P0339,4,6323,fulfilled
L0000288,O000156,P0265,1,42798,fulfilled
L0000289,O000157,P0442,2,43672,fulfilled
L0000290,O000157,P0086,1,33199,fulfilled
L0000291,O000157,P0141,5,40369,fulfilled
L0000292,O000158,P0190,2,46899,fulfilled
L0000293,O000158,P0422,1,31159,fulfilled
L0000294,O000158,P0310,2,31691,fulfilled
L0000295,O000158,P0370,1,553,fulfilled
L0000296,O000159,P0488,1,28881,fulfilled
L0000297,O000159,P0180,5,36892,fulfilled
L0000298,O000159,P0042,4,13652,fulfilled
L0000299,O000160,P0146,4,21836,fulfilled
L0000300,O000160,P0347,1,6905,fulfilled
L0000301,O000160,P0023,2,42583,fulfilled
L0000302,O000161,P0267,3,7079,fulfilled
L0000303,O000161,P0183,1,15485,fulfilled
L0000304,O000162,P0126,4,34411,fulfilled
L0000305,O000163,P0095,2,27484,fulfilled
L0000306,O000164,P0274,1,28501,fulfilled
L0000307,O000164,P0073,4,15172,fulfilled
L0000308,O000164,P0352,4,16521,fulfilled
L0000309,O000165,P0386,2,14947,cancelled
L0000310,O000165,P0346,3,20765,cancelled
L0000311,O000166,P0400,3,18064,cancelled
L0000312,O000166,P0008,4,39343,cancelled
L0000313,O000166,P0308,3,7342,cancelled
L0000314,O000167,P0258,4,26704,fulfilled
L0000315,O000168,P0290,2,38070,fulfilled
L0000316,O000169,P0083,4,21507,fulfilled
L0000317,O000169,P0480,1,22929,fulfilled
L0000318,O000170,P0377,1,22328,fulfilled
L0000319,O000171,P0120,2,12778,fulfilled
L0000320,O000172,P0432,2,7885,fulfilled
L0000321,O000172,P0067,4,22433,fulfilled
L0000322,O000173,P0423,2,42869,fulfilled
L0000323,O000174,P0027,4,29527,fulfilled
L0000324,O000174,P0040,2,1162,fulfilled
L0000325,O000175,P0058,3,41303,fulfilled
L0000326,O000176,P0223,1,30520,fulfilled
L0000327,O000176,P0494,2,47996,fulfilled
L0000328,O000177,P0305,2,10375,fulfilled
L0000329,O000178,P0288,5,4754,cancelled
L0000330,O000178,P0280,2,39953,cancelled
L0000331,O000178,P0128,3,29623,cancelled
L0000332,O000178,P0456,5,492,cancelled
L0000333,O000179,P0134,4,945,fulfilled
L0000334,O000179,P0158,3,43460,fulfilled
L0000335,O000180,P0284,4,10356,fulfilled
L0000336,O000180,P0426,1,41178,fulfilled
L0000337,O000181,P0475,5,25767,fulfilled
L0000338,O000181,P0203,1,1124,fulfilled
L0000339,O000181,P0364,4,24883,fulfilled
L0000340,O000181,P0360,4,22818,fulfilled
L0000341,O000182,P0293,5,8709,fulfilled
L0000342,O000182,P0377,3,22251,fulfilled
L0000343,O000182,P0018,5,36186,fulfilled
L0000344,O000183,P0456,1,517,fulfilled
L0000345,O000183,P0084,1,7118,fulfilled
L0000346,O000184,P0047,1,47456,fulfilled
L0000347,O000184,P0360,1,22330,fulfilled
L0000348,O000185,P0436,2,17114,fulfilled
L0000349,O000185,P0079,3,14103,fulfilled
L0000350,O000186,P0157,5,41577,fulfilled
L0000351,O000186,P0029,2,41607,fulfilled
L0000352,O000186,P0343,2,5638,fulfilled
L0000353,O000187,P0221,4,30073,fulfilled
L0000354,O000188,P0217,2,11988,fulfilled
L0000355,O000188,P0215,2,28533,fulfilled
L0000356,O000189,P0022,3,25378,pending
L0000357,O000189,P0395,1,41222,pending
L0000358,O000190,P0282,5,31462,fulfilled
L0000359,O000191,P0284,3,10674,fulfilled
L0000360,O000192,P0142,2,17319,fulfilled
L0000361,O000192,P0215,5,28271,fulfilled
L0000362,O000193,P0334,1,31647,fulfilled
L0000363,O000194,P0064,1,5635,fulfilled
L0000364,O000194,P0449,5,33327,fulfilled
L0000365,O000194,P0308,1,7636,fulfilled
L0000366,O000195,P0452,5,32094,fulfilled
L0000367,O000195,P0067,5,20385,fulfilled
L0000368,O000196,P0031,5,20262,fulfilled
L0000369,O000196,P0252,2,2873,fulfilled
L0000370,O000196,P0480,4,22823,fulfilled
L0000371,O000197,P0330,4,30940,fulfilled
L0000372,O000198,P0066,4,10957,fulfilled
L0000373,O000199,P0218,5,38142,pending
L0000374,O000199,P0175,1,15351,pending
L0000375,O000200,P0156,2,29957,fulfilled
L0000376,O000201,P0240,3,23642,fulfilled
L0000377,O000202,P0194,2,14558,fulfilled
L0000378,O000202,P0403,5,32698,fulfilled
L0000379,O000202,P0055,4,20602,fulfilled
L0000380,O000203,P0304,4,10688,fulfilled
L0000381,O000203,P0237,5,14394,fulfilled
L0000382,O000204,P0468,2,40030,fulfilled
L0000383,O000205,P0480,4,23169,fulfilled
L0000384,O000205,P0176,3,37743,fulfilled
L0000385,O000205,P0481,3,1561,fulfilled
L0000386,O000205,P0383,2,30924,fulfilled
L0000387,O000206,P0268,4,34099,fulfilled
L0000388,O000206,P0408,4,9002,fulfilled
L0000389,O000206,P0368,1,26123,fulfilled
L0000390,O000207,P0051,3,7690,fulfilled
L0000391,O000207,P0084,2,6929,fulfilled
L0000392,O000208,P0049,3,24213,fulfilled
L0000393,O000209,P0403,2,34049,fulfilled
L0000394,O000209,P0231,1,18306,fulfilled
L0000395,O000210,P0231,1,16752,fulfilled
L0000396,O000211,P0273,5,41073,fulfilled
L0000397,O000211,P0493,3,2228,fulfilled
L0000398,O000211,P0252,2,2760,fulfilled
L0000399,O000212,P0350,5,37130,fulfilled
L0000400,O000212,P0437,1,32220,fulfilled
L0000401,O000213,P0006,2,5439,fulfilled
L0000402,O000213,P0315,1,10656,fulfilled
L0000403,O000213,P0392,3,12517,fulfilled
L0000404,O000214,P0353,4,24587,fulfilled
L0000405,O000215,P0431,2,33011,fulfilled
L0000406,O000215,P0049,4,26738,fulfilled
L0000407,O000215,P0181,2,13547,fulfilled
L0000408,O000216,P0001,5,20154,fulfilled
L0000409,O000216,P0172,2,40333,fulfilled
L0000410,O000216,P0189,4,21662,fulfilled
L0000411,O000217,P0439,1,37038,pending
L0000412,O000218,P0214,5,24406,fulfilled
L0000413,O000219,P0128,4,29898,fulfilled
L0000414,O000219,P0367,5,10128,fulfilled
L0000415,O000220,P0394,2,10412,fulfilled
L0000416,O000220,P0251,5,37363,fulfilled
L0000417,O000221,P0380,3,12624,fulfilled
L0000418,O000221,P0098,4,1443,fulfilled
L0000419,O000222,P0014,3,26642,fulfilled
L0000420,O000223,P0142,2,17459,fulfilled
L0000421,O000223,P0277,3,28311,fulfilled
L0000422,O000223,P0226,3,29703,fulfilled
L0000423,O000224,P0247,2,12764,fulfilled
L0000424,O000224,P0237,2,12997,fulfilled
L0000425,O000225,P0238,4,19605,fulfilled
L0000426,O000226,P0394,5,11406,cancelled
L0000427,O000226,P0026,5,8336,cancelled
L0000428,O000226,P0207,1,9397,cancelled
L0000429,O000227,P0060,4,23901,cancelled
L0000430,O000228,P0183,1,16475,fulfilled
L0000431,O000229,P0005,5,31095,pending
L0000432,O000229,P0288,2,4905,pending
L0000433,O000229,P0291,1,36233,pending
L0000434,O000230,P0448,1,24465,fulfilled
L0000435,O000230,P0475,5,27023,fulfilled
L0000436,O000230,P0348,1,23860,fulfilled
L0000437,O000230,P0104,2,16383,fulfilled
L0000438,O000231,P0227,5,571,fulfilled
L0000439,O000231,P0451,2,32234,fulfilled
L0000440,O000232,P0417,4,16692,fulfilled
L0000441,O000232,P0098,1,1548,fulfilled
L0000442,O000232,P0494,4,42147,fulfilled
L0000443,O000233,P0355,4,23631,fulfilled
L0000444,O000233,P0425,2,17539,fulfilled
L0000445,O000234,P0060,1,25398,fulfilled
L0000446,O000234,P0194,4,14347,fulfilled
L0000447,O000235,P0155,3,1708,fulfilled
L0000448,O000235,P0339,2,6615,fulfilled
L0000449,O000235,P0213,2,22629,fulfilled
L0000450,O000236,P0446,2,25113,fulfilled
L0000451,O000236,P0364,4,27262,fulfilled
L0000452,O000237,P0097,5,15909,fulfilled
L0000453,O000237,P0361,4,13758,fulfilled
L0000454,O000237,P0226,5,31808,fulfilled
L0000455,O000238,P0270,3,24101,pending
L0000456,O000238,P0388,1,32755,pending
L0000457,O000239,P0184,2,37094,fulfilled
L0000458,O000239,P0479,1,28803,fulfilled
L0000459,O000239,P0471,2,41755,fulfilled
L0000460,O000240,P0027,5,31679,cancelled
L0000461,O000240,P0309,4,25178,cancelled
L0000462,O000240,P0387,2,5655,cancelled
L0000463,O000241,P0074,1,40013,fulfilled
L0000464,O000241,P0128,1,28292,fulfilled
L0000465,O000242,P0482,1,38347,pending
L0000466,O000243,P0454,3,16389,cancelled
L0000467,O000243,P0471,1,41912,cancelled
L0000468,O000244,P0371,5,26088,fulfilled
L0000469,O000244,P0400,1,17540,fulfilled
L0000470,O000245,P0304,2,10164,fulfilled
L0000471,O000246,P0407,2,7163,fulfilled
L0000472,O000246,P0035,4,1196,fulfilled
L0000473,O000247,P0159,5,43217,fulfilled
L0000474,O000248,P0227,2,657,fulfilled
L0000475,O000248,P0148,2,42442,fulfilled
L0000476,O000249,P0365,2,34263,fulfilled
L0000477,O000250,P0351,2,27169,fulfilled
L0000478,O000251,P0336,2,39910,fulfilled
L0000479,O000251,P0017,3,45245,fulfilled
L0000480,O000252,P0433,5,17784,fulfilled
L0000481,O000252,P0239,3,6981,fulfilled
L0000482,O000253,P0109,1,27870,fulfilled
L0000483,O000253,P0382,3,41057,fulfilled
L0000484,O000254,P0329,1,866,fulfilled
L0000485,O000255,P0101,3,32678,cancelled
L0000486,O000255,P0494,2,48396,cancelled
L0000487,O000256,P0380,4,12108,pending
L0000488,O000257,P0208,2,21318,fulfilled
L0000489,O000258,P0363,5,4578,fulfilled
L0000490,O000258,P0474,4,22958,fulfilled
L0000491,O000259,P0343,4,6008,fulfilled
L0000492,O000259,P0234,3,32050,pending
L0000493,O000260,P0153,3,9355,fulfilled
L0000494,O000260,P0001,1,18141,fulfilled
L0000495,O000260,P0370,4,534,fulfilled
L0000496,O000261,P0248,3,4550,fulfilled
L0000497,O000262,P0143,4,29468,fulfilled
L0000498,O000262,P0211,2,39623,fulfilled
L0000499,O000263,P0091,2,14477,fulfilled
L0000500,O000263,P0320,1,14170,fulfilled
L0000501,O000264,P0130,5,26890,fulfilled
L0000502,O000264,P0078,2,40225,fulfilled
L0000503,O000264,P0126,3,33735,fulfilled
L0000504,O000264,P0018,3,33130,fulfilled
L0000505,O000265,P0197,3,13092,fulfilled
L0000506,O000265,P0248,2,4206,fulfilled
L0000507,O000266,P0099,1,35829,fulfilled
L0000508,O000266,P0159,1,38424,fulfilled
L0000509,O000267,P0130,1,26279,fulfilled
L0000510,O000267,P0173,4,10655,fulfilled
L0000511,O000267,P0014,1,27496,fulfilled
L0000512,O000268,P0047,2,42321,fulfilled
L0000513,O000269,P0048,5,17128,pending
L0000514,O000269,P0001,2,17881,fulfilled
L0000515,O000270,P0361,2,15204,fulfilled
L0000516,O000271,P0483,3,5416,fulfilled
L0000517,O000271,P0141,1,37560,fulfilled
L0000518,O000272,P0238,5,19196,fulfilled
L0000519,O000272,P0475,4,25468,fulfilled
L0000520,O000272,P0147,3,6214,fulfilled
L0000521,O000273,P0484,3,28840,fulfilled
L0000522,O000273,P0329,3,866,fulfilled
L0000523,O000274,P0264,5,5388,fulfilled
L0000524,O000274,P0298,1,33177,fulfilled
L0000525,O000275,P0453,4,14095,fulfilled
L0000526,O000276,P0107,5,7141,fulfilled
L0000527,O000276,P0455,3,1581,fulfilled
L0000528,O000276,P0476,1,35594,fulfilled
L0000529,O000277,P0165,4,33252,pending
L0000530,O000277,P0079,1,15125,pending
L0000531,O000278,P0254,1,41509,fulfilled
L0000532,O000278,P0015,4,19305,fulfilled
L0000533,O000279,P0085,4,32715,fulfilled
L0000534,O000280,P0402,3,23062,fulfilled
L0000535,O000280,P0082,2,37964,fulfilled
L0000536,O000281,P0485,3,15333,fulfilled
L0000537,O000281,P0090,1,37446,fulfilled
L0000538,O000282,P0412,4,16951,fulfilled
L0000539,O000283,P0432,1,7598,fulfilled
L0000540,O000283,P0020,2,27827,fulfilled
L0000541,O000284,P0013,3,36178,fulfilled
L0000542,O000284,P0494,1,44132,fulfilled
L0000543,O000285,P0283,1,28252,pending
L0000544,O000285,P0205,3,25654,fulfilled
L0000545,O000285,P0106,3,33166,fulfilled
L0000546,O000286,P0223,2,30043,fulfilled
L0000547,O000286,P0449,4,33109,fulfilled
L0000548,O000287,P0228,3,11117,fulfilled
L0000549,O000287,P0476,3,34491,fulfilled
L0000550,O000288,P0101,1,33193,fulfilled
L0000551,O000288,P0037,1,48265,fulfilled
L0000552,O000289,P0084,5,6955,fulfilled
L0000553,O000289,P0282,2,26987,fulfilled
L0000554,O000289,P0478,5,20195,fulfilled
L0000555,O000290,P0436,1,17492,fulfilled
L0000556,O000291,P0088,5,1794,pending
L0000557,O000291,P0165,3,30562,fulfilled
L0000558,O000291,P0058,1,41878,fulfilled
L0000559,O000292,P0037,5,44821,fulfilled
L0000560,O000293,P0272,4,26373,pending
L0000561,O000294,P0264,5,5332,fulfilled
L0000562,O000294,P0423,4,43962,fulfilled
L0000563,O000295,P0437,3,31780,pending
L0000564,O000295,P0174,5,9314,fulfilled
L0000565,O000295,P0006,2,5955,pending
L0000566,O000296,P0332,5,27758,fulfilled
L0000567,O000297,P0251,1,40298,fulfilled
L0000568,O000298,P0017,2,44630,fulfilled
L0000569,O000298,P0128,5,30462,fulfilled
L0000570,O000298,P0343,4,5831,fulfilled
L0000571,O000299,P0404,4,34539,fulfilled
L0000572,O000300,P0084,1,6591,fulfilled
L0000573,O000300,P0265,2,41783,fulfilled
L0000574,O000300,P0363,2,4242,fulfilled
L0000575,O000301,P0467,4,26591,fulfilled
L0000576,O000301,P0474,2,24843,fulfilled
L0000577,O000302,P0025,2,35160,fulfilled
L0000578,O000303,P0193,1,21463,fulfilled
L0000579,O000303,P0450,1,1352,fulfilled
L0000580,O000303,P0359,2,38414,fulfilled
L0000581,O000303,P0005,3,29222,fulfilled
L0000582,O000304,P0052,5,22647,fulfilled
L0000583,O000305,P0278,5,24220,fulfilled
L0000584,O000305,P0336,3,40501,fulfilled
L0000585,O000305,P0003,5,4528,fulfilled
L0000586,O000306,P0471,1,45386,fulfilled
L0000587,O000307,P0146,5,22756,fulfilled
L0000588,O000307,P0398,2,41983,fulfilled
